,character,structure,segment,number,
U+07539,甹,1,由丂,會意,
U+0753A,町,0,田丁,丁聲,
U+0753E,甾,1,𡿧田,𡿧聲,
U+0753F,甿,0,田亡,亡聲,
U+07541,畁,1,甶丌,甶聲,
U+07549,畉,0,田夫,夫聲,
U+0754B,畋,0,田攵,田聲,
U+0754C,界,1,田介,介聲,
U+0754E,畎,0,田犬,犬聲,
U+0754F,畏,1,甶虎,會意,
U+07551,畑,0,火田,国字,
U+07554,畔,0,田半,半聲,
U+07555,畕,1,田田,會意,
U+07557,畗,,畗,象形,
U+0755B,畛,0,田㐱,㐱聲,
U+0755E,畞,8,9,十田久,
U+0755F,畟,3,田儿夊,會意,
U+07560,畠,1,白田,国字,
U+07564,畤,0,田寺,寺聲,
U+07565,略,0,田各,各聲,
U+07566,畦,0,田圭,圭聲,
U+07569,畩,0,田衣,国字,
U+0756A,番,1,釆田,釆聲,
U+0756B,畫,1,聿田,會意,
U+0756C,畬,1,余田,余聲,
U+0756D,畭,0,田余,余聲,
U+0756E,畮,0,田每,每聲,
U+0756F,畯,0,田夋,夋聲,
U+07570,異,1,畀廾,會意,
U+07571,畱,1,丣田,丣聲,
U+07576,當,1,尚田,尚聲,
U+07577,畷,0,田叕,叕聲,
U+07578,畸,0,田奇,奇聲,
U+07579,畹,0,田宛,宛聲,
U+0757A,畺,,畺,象形,
U+0757C,畼,0,田昜,昜聲,
U+0757E,畾,,,象形,
U+0757F,畿,9,幾田,幾省聲,
U+07580,疀,0,甾疌,疌聲,
U+07581,疁,0,田翏,翏聲,
U+07583,疃,0,田童,童聲,
U+07586,疆,9,彊土,,
U+0758B,疋,,疋,象形,
U+0758C,疌,3,屮又止,屮聲,
U+0758E,疎,0,疋束,疋聲,
U+0758F,疏,0,疋㐬,疋亦聲,
U+07591,疑,0,1,匕矢1,
U+07594,疔,8,疒丁,丁聲,
U+07595,疕,8,疒匕,匕聲,
U+0759A,疚,8,疒久,久聲,
U+0759D,疝,8,疒山,山聲,
U+075A2,疢,8,疒火,會意,
U+075A3,疣,8,疒尤,尤聲,
U+075A5,疥,8,疒介,介聲,
U+075A6,疦,8,疒夬,夬聲,
U+075A7,疧,8,疒氏,氏聲,
U+075AB,疫,8,疒殳,役省聲,
U+075B2,疲,8,疒皮,皮聲,
U+075B3,疳,8,疒甘,甘聲,
U+075B4,疴,8,疒可,可聲,
U+075B5,疵,8,疒此,此聲,
U+075B8,疸,8,疒旦,旦聲,
U+075B9,疹,8,疒㐱,㐱聲,
U+075BB,疻,8,疒只,只聲,
U+075BC,疼,8,疒冬,冬聲,
U+075BD,疽,8,疒且,且聲,
U+075C0,痀,8,疒句,句聲,
U+075C1,痁,8,疒占,占聲,
U+075C2,痂,8,疒加,加聲,
U+075C3,痃,8,疒玄,玄聲,
U+075C5,病,8,疒丙,丙聲,
U+075C7,症,8,疒正,正聲,
U+075CA,痊,8,疒全,全聲,
U+075CD,痍,8,疒夷,夷聲,
U+075CE,痎,8,疒亥,亥聲,
U+075CF,痏,8,疒有,有聲,
U+075D1,痑,8,疒多,多聲,
U+075D2,痒,8,疒羊,羊聲,
U+075D4,痔,8,疒寺,寺聲,
U+075D8,痘,8,疒豆,豆聲,
U+075D9,痙,8,疒巠,巠聲,
U+075DB,痛,8,疒甬,甬聲,
U+075DE,痞,8,疒否,否聲,
U+075DF,痟,8,疒肖,肖聲,
U+075E1,痡,8,疒甫,甫聲,
U+075E2,痢,8,疒利,利聲,
U+075E3,痣,8,疒志,志聲,
U+075E4,痤,8,疒坐,坐聲,
U+075E5,痥,8,疒兌,兌聲,
U+075EC,痬,8,疒易,易聲,
U+075F0,痰,8,疒炎,炎聲,
U+075F1,痱,8,疒非,非聲,
U+075F2,痲,8,疒𣏟,𣏟聲,
U+075F3,痳,8,疒林,林聲,
U+075F5,痵,8,疒季,季聲,
U+075F9,痹,8,疒畀,畀聲,
U+075FA,痺,8,疒卑,卑聲,
U+075FC,痼,8,疒固,固聲,
U+075FE,痾,8,疒阿,阿聲,
U+075FF,痿,8,疒委,委聲,
U+07600,瘀,8,疒於,於聲,
U+07601,瘁,8,疒卒,卒聲,
U+07603,瘃,8,疒豖,豖聲,
U+07609,瘉,8,疒兪,兪聲,
U+0760B,瘋,8,疒風,風聲,
U+0760C,瘌,8,疒剌,剌聲,
U+0760D,瘍,8,疒昜,昜聲,
U+0760F,瘏,8,疒者,者聲,
U+07615,瘕,8,疒叚,叚聲,
U+07616,瘖,8,疒音,音聲,
U+0761A,瘚,8,疒2,从屰,
U+0761B,瘛,8,疒恝,恝聲,
U+0761C,瘜,8,疒息,息聲,
U+0761E,瘞,8,㾜土,土聲,
U+0761F,瘟,8,疒𥁕,𥁕聲,
U+07620,瘠,8,疒脊,脊聲,
U+07621,瘡,8,疒倉,倉聲,
U+07622,瘢,8,疒般,般聲,
U+07623,瘣,8,疒鬼,鬼聲,
U+07627,瘧,8,疒虐,虐亦聲,
U+07628,瘨,8,疒真,真聲,
U+07630,瘰,8,疒累,累聲,
U+07631,瘱,8,疒㤲,㾜聲,
U+07632,瘲,8,疒從,從聲,
U+07633,瘳,8,疒翏,翏聲,
U+07634,瘴,8,疒章,章聲,
U+07635,瘵,8,疒祭,祭聲,
U+0763B,瘻,8,疒婁,婁聲,
U+0763C,瘼,8,疒莫,莫聲,
U+0763D,瘽,8,疒堇,堇聲,
U+07642,療,8,疒尞,尞聲,
U+07643,癃,8,疒隆,隆聲,
U+07645,癅,8,疒畱,畱聲,
U+07646,癆,8,疒勞,勞聲,
U+07647,癇,8,疒閒,閒聲,
U+07648,癈,8,疒發,發聲,
U+07649,癉,8,疒單,單聲,
U+0764C,癌,8,疒嵒,嵒聲,
U+07652,癒,8,疒愈,愈聲,
U+07656,癖,8,疒辟,辟聲,
U+07658,癘,8,疒蠆,蠆聲,
U+0765C,癜,8,疒殿,殿聲,
U+07661,癡,8,疒疑,疑聲,
U+07662,癢,8,疒養,養聲,
U+07667,癧,8,疒歴,歴聲,
U+07668,癨,8,疒霍,霍聲,
U+07669,癩,8,疒賴,賴聲,
U+0766A,癪,8,疒積,国字,
U+0766C,癬,8,疒鮮,鮮聲,
U+0766D,癭,8,疒嬰,嬰聲,
U+07670,癰,,疒雝,雝聲,
U+07672,癲,8,疒顛,顛聲,
U+07679,癹,1,癶殳,會意,
U+0767B,登,1,癶豆,豆聲,
U+0767C,發,9,弓癹,癹聲,
U+0767D,白,,白,象形,
U+0767E,百,1,一白,白聲,
U+07680,皀,,皀,象形,
U+07683,皃,1,白儿,會意,
U+07684,的,0,白勺,勺聲,
U+07685,皅,0,白巴,巴聲,
U+07686,皆,1,比白,會意,
U+0768B,皋,1,白夲,夲聲,
U+0768E,皎,0,白交,交聲,
U+07693,皓,0,白告,告聲,
U+07695,皕,0,百百,會意,
U+07696,皖,0,白完,完聲,
U+07699,皙,1,析白,析聲,
U+0769A,皚,0,白豈,豈聲,
U+0769B,皛,1,白㿟,會意,
U+076A2,皢,0,白堯,堯聲,
U+076A4,皤,0,白番,番聲,
U+076A6,皦,0,白敫,敫聲,
U+076AE,皮,1,爲又,爲省聲,
U+076AF,皯,0,皮干,干聲,
U+076B0,皰,0,皮包,包聲,
U+076B4,皴,0,夋皮,夋聲,
U+076B8,皸,0,軍皮,軍聲,
U+076BA,皺,0,芻皮,芻聲,
U+076BF,皿,,皿,象形,
U+076C2,盂,1,于皿,于聲,
U+076C4,盄,1,弔皿,弔聲,
U+076C5,盅,1,中皿,中聲,
U+076C6,盆,1,分皿,分聲,
U+076C7,盇,1,大血,大聲,
U+076C8,盈,1,夃皿,夃聲,
U+076C9,盉,1,禾皿,禾聲,
U+076CA,益,1,水皿,會意,
U+076CB,盋,1,犮皿,犮聲,
U+076CC,盌,1,夗皿,夗聲,
U+076CE,盎,1,央皿,央聲,
U+076D2,盒,1,合皿,合聲,
U+076DB,盛,1,成皿,成聲,
U+076DC,盜,1,㳄皿,會意,
U+076DE,盞,1,戔皿,戔聲,
U+076DF,盟,1,明皿,明聲,
U+076E4,盤,1,般皿,般聲,
U+076E5,盥,1,4,臼水皿,
U+076E6,盦,1,酓皿,酓聲,
U+076E7,盧,8,𧆣皿,𧆣聲,
U+076E8,盨,1,須皿,須聲,
U+076EA,盪,1,湯皿,湯聲,
U+076EC,盬,7,鹽古,古聲,
U+076EE,目,,目,象形,
U+076F0,盰,0,目干,干聲,
U+076F2,盲,1,亡目,亡聲,
U+076F4,直,A,乚省,會意,
U+076F8,相,0,木目,會意,
U+076FB,盻,0,目兮,兮聲,
U+076FC,盼,0,目分,分聲,
U+076FE,盾,,盾,象形,
U+07702,眂,0,目氏,氏聲,
U+07704,眄,0,目丏,丏聲,
U+07705,眅,0,目反,反聲,
U+07707,眇,0,目少,會意,
U+07708,眈,0,目冘,冘聲,
U+0770A,眊,0,目毛,毛聲,
U+0770B,看,8,手目,會意,
U+07713,眓,0,目戉,戉聲,
U+07714,眔,1,罒隶,會意,
U+07715,眕,0,目㐱,㐱聲,
U+07719,眙,0,目台,台聲,
U+0771A,眚,1,生目,生聲,
U+0771B,眛,0,目未,未聲,
U+0771C,眜,0,目末,末聲,
U+0771D,眝,0,目宁,宁聲,
U+0771E,眞,3,匕A,乚目八,
U+07720,眠,0,目民,民聲,
U+07721,眡,0,目氐,氐聲,
U+07722,眢,1,夗目,夗聲,
U+07723,眣,0,目失,失聲,
U+07724,眤,0,目尼,尼聲,
U+07725,眥,1,此目,此聲,
U+07728,眨,0,目乏,乏聲,
U+07729,眩,0,目玄,玄聲,
U+0772D,眭,0,目圭,圭聲,
U+0772E,眮,0,目同,同聲,
U+0772F,眯,0,目米,米聲,
U+07734,眴,0,目旬,旬聲,
U+07735,眵,0,目多,多聲,
U+07738,眸,0,目牟,牟聲,
U+0773A,眺,0,目兆,兆聲,
U+0773D,眽,0,目𠂢,𠂢聲,
U+0773E,眾,1,目㐺,會意,
U+07742,睂,,睂,象形,
U+07745,睅,0,目旱,旱聲,
U+07746,睆,0,目完,完聲,
U+07747,睇,0,目弟,弟聲,
U+07749,睉,0,目坐,坐聲,
U+0774A,睊,0,目肙,肙聲,
U+0774C,睌,0,目免,免聲,
U+0774D,睍,0,目見,見聲,
U+0774E,睎,0,目希,希聲,
U+07752,睒,0,目炎,炎聲,
U+07754,睔,0,目侖,侖聲,
U+07757,睗,0,目易,易聲,
U+0775A,睚,0,目厓,厓聲,
U+0775B,睛,0,目靑,靑聲,
U+0775E,睞,0,目來,來聲,
U+07762,睢,0,目隹,隹聲,
U+07763,督,1,叔目,叔聲,
U+07765,睥,0,目卑,卑聲,
U+07766,睦,0,目坴,坴聲,
U+07768,睨,0,目兒,兒聲,
U+07769,睩,0,目彔,彔聲,
U+0776B,睫,0,目疌,疌聲,
U+07774,睴,0,目軍,軍聲,
U+07779,睹,0,目者,者聲,
U+0777C,睼,0,目是,是聲,
U+0777D,睽,0,目癸,癸聲,
U+0777E,睾,1,罒幸,幸聲,
U+07780,瞀,1,敄目,敄聲,
U+07782,瞂,0,盾犮,犮聲,
U+0778B,瞋,0,目眞,眞聲,
U+0778E,瞎,0,目害,害聲,
U+0778F,瞏,1,罒袁,袁聲,
U+07791,瞑,0,目冥,冥聲,
U+07797,瞗,0,目鳥,鳥聲,
U+0779A,瞚,0,目寅,寅聲,
U+0779E,瞞,0,目㒼,㒼聲,
U+077A0,瞠,0,目堂,堂聲,
U+077A2,瞢,3,𥄕䀏,會意,
U+077A4,瞤,0,目閏,閏聲,
U+077A5,瞥,1,敝目,敝聲,
U+077A6,瞦,0,目喜,喜聲,
U+077AC,瞬,0,目舜,舜聲,
U+077AD,瞭,0,目尞,尞聲,
U+077AF,瞯,0,目閒,閒聲,
U+077B0,瞰,0,目敢,敢聲,
U+077B3,瞳,0,目童,童聲,
U+077B4,瞴,0,目無,無聲,
U+077B9,瞹,0,目愛,愛聲,
U+077BB,瞻,0,目詹,詹聲,
U+077BC,瞼,0,目僉,僉聲,
U+077BD,瞽,1,鼓目,鼓聲,
U+077BF,瞿,1,䀠隹,䀠亦聲,
U+077C6,矆,0,目蒦,蒦聲,
U+077C7,矇,0,目蒙,蒙聲,
U+077C9,矉,0,目賓,賓聲,
U+077CD,矍,1,䀠隻,隻聲,
U+077CF,矏,0,目臱,臱聲,
U+077D4,矔,0,目雚,雚聲,
U+077D5,矕,1,䜌目,䜌聲,
U+077D7,矗,1,直0,直直,
U+077D8,矘,0,目黨,黨聲,
U+077DA,矚,0,目屬,屬聲,
U+077DB,矛,,矛,象形,
U+077DC,矜,0,矛今,今聲,
U+077DD,矝,0,矛令,令聲,
U+077DE,矞,1,矛㕯,會意,
U+077E2,矢,,矢,象形,
U+077E3,矣,1,厶矢,厶聲,
U+077E4,矤,0,引矢,引省聲,
U+077E5,知,0,矢口,矢聲,
U+077E6,矦,8,厃矢,會意,
U+077E7,矧,0,矢引,引聲,
U+077E9,矩,0,矢巨,巨聲,
U+077ED,短,0,矢豆,豆聲,
U+077EE,矮,0,矢委,委聲,
U+077EF,矯,0,矢喬,喬聲,
U+077F0,矰,0,矢曾,曾聲,
U+077F3,石,8,厂囗,會意,
U+077FC,矼,0,石工,工聲,
U+07802,砂,0,石少,少聲,
U+07805,砅,0,石水,會意,
U+0780C,砌,0,石切,切聲,
U+07812,砒,0,石比,比聲,
U+07820,砠,0,石且,且聲,
U+07822,砢,0,石可,可聲,
U+07825,砥,0,石氐,氐聲,
U+07826,砦,1,此石,此聲,
U+07827,砧,0,石占,占聲,
U+0782D,砭,0,石乏,乏聲,
U+0782E,砮,1,奴石,奴聲,
U+07832,砲,0,石包,包聲,
U+07834,破,0,石皮,皮聲,
U+07845,硅,0,石圭,圭聲,
U+07848,硈,0,石吉,吉聲,
U+0784F,硏,0,石幵,幵聲,
U+0785C,硜,0,石巠,巠聲,
U+0785D,硝,0,石肖,肖聲,
U+0785E,硞,0,石告,告聲,
U+0785F,硟,0,石延,延聲,
U+0786A,硪,0,石我,我聲,
U+0786B,硫,0,石㐬,㐬聲,
U+0786C,硬,0,石更,更聲,
U+0786E,确,0,石角,角聲,
U+0786F,硯,0,石見,見聲,
U+07872,硲,0,石谷,国字,
U+07874,硴,0,石花,国字,
U+0787B,硻,1,堅石,堅省聲,
U+0787C,硼,0,石朋,朋聲,
U+07881,碁,1,其石,其聲,
U+07886,碆,1,波石,波聲,
U+07887,碇,0,石定,定聲,
U+0788C,碌,0,石彔,彔聲,
U+0788E,碎,0,石卒,卒聲,
U+0788F,碏,0,石昔,昔聲,
U+07891,碑,0,石卑,卑聲,
U+07893,碓,0,石隹,隹聲,
U+07895,碕,0,石奇,奇聲,
U+07897,碗,0,石宛,宛聲,
U+0789A,碚,0,石咅,咅聲,
U+0789D,碝,0,石耎,耎聲,
U+0789E,碞,1,品石,會意,
U+078A3,碣,0,石曷,曷聲,
U+078A7,碧,1,0,王白石,
U+078A9,碩,0,石頁,石聲,
U+078AA,碪,0,石甚,甚聲,
U+078AB,碫,0,石段,段亦聲,
U+078AD,碭,0,石昜,昜聲,
U+078BA,確,0,石隺,隺聲,
U+078BC,碼,0,石馬,馬聲,
U+078BE,碾,0,石展,展聲,
U+078C1,磁,0,石茲,茲聲,
U+078C5,磅,0,石旁,旁聲,
U+078C6,磆,0,石骨,骨聲,
U+078CA,磊,1,石砳,,
U+078CB,磋,0,石差,差聲,
U+078CF,磏,0,石兼,兼聲,
U+078D0,磐,1,般石,般聲,
U+078D1,磑,0,石豈,豈聲,
U+078D2,磒,0,石員,員聲,
U+078D4,磔,0,石桀,桀聲,
U+078DA,磚,0,石專,專聲,
U+078DB,磛,1,斬石,斬聲,
U+078E7,磧,0,石責,責聲,
U+078E8,磨,8,麻石,麻聲,
U+078EC,磬,1,殸石,殸聲,
U+078EF,磯,0,石幾,幾聲,
U+078F4,磴,0,石登,登聲,
U+078FA,磺,0,石黃,黃聲,
U+078FB,磻,0,石番,番聲,
U+078FD,磽,0,石堯,堯聲,
U+078FF,磿,8,厤石,厤聲,
U+07901,礁,0,石焦,焦聲,
U+07907,礇,0,石奧,奧聲,
U+0790E,礎,0,石楚,楚聲,
U+07910,礐,1,學石,學省聲,
U+07911,礑,0,石當,當聲,
U+07912,礒,0,石義,義聲,
U+07919,礙,0,石疑,疑聲,
U+0791C,礜,1,與石,與聲,
U+07926,礦,0,石廣,廣聲,
U+07929,礩,0,石質,質聲,
U+0792A,礪,0,石厲,厲聲,
U+0792B,礫,0,石樂,樂聲,
U+0792C,礬,1,樊石,樊聲,
U+07931,礱,1,龍石,龍聲,
U+07939,礹,0,石嚴,嚴聲,
U+0793A,示,,示,象形,
U+0793E,社,0,礻土,土聲,
U+0793F,礿,0,礻勺,勺聲,
U+07940,祀,0,礻巳,巳聲,
U+07941,祁,0,示阝,示聲,
U+07946,祆,0,示天,天聲,
U+07947,祇,0,礻氏,氏聲,
U+07948,祈,0,礻斤,斤聲,
U+07949,祉,0,礻止,止聲,
U+0794A,祊,0,礻方,方聲,
U+0794B,祋,0,礻殳,礻聲,
U+0794F,祏,0,礻石,石亦聲,
U+07950,祐,0,礻右,右聲,
U+07953,祓,0,礻犮,犮聲,
U+07954,祔,0,礻付,付聲,
U+07955,祕,0,礻必,必聲,
U+07956,祖,0,礻且,且聲,
U+07957,祗,0,礻氐,氐聲,
U+07958,祘,0,示示,會意,
U+0795A,祚,0,礻乍,乍聲,
U+0795C,祜,0,礻古,古聲,
U+0795D,祝,0,礻兄,會意,
U+07960,祠,0,礻司,司聲,
U+07961,祡,1,此示,此聲,
U+07965,祥,0,礻羊,羊聲,
U+07967,祧,0,示兆,兆聲,
U+0796A,祪,0,礻危,危聲,
U+0796B,祫,0,礻合,會意,
U+0796D,祭,1,0,肉又示,
U+07970,祰,0,礻告,告聲,
U+07973,祳,0,礻辰,辰聲,
U+07974,祴,0,礻戒,戒聲,
U+0797A,祺,0,礻其,其聲,
U+0797C,祼,0,礻果,果聲,
U+0797F,祿,0,礻彔,彔聲,
U+07981,禁,1,林示,林聲,
U+07982,禂,0,礻周,周聲,
U+0798A,禊,0,礻契,契聲,
U+0798D,禍,0,礻咼,咼聲,
U+0798E,禎,0,礻貞,貞聲,
U+0798F,福,0,礻畐,畐聲,
U+07993,禓,0,礻昜,昜聲,
U+07994,禔,0,礻是,是聲,
U+07996,禖,0,礻某,某聲,
U+07998,禘,0,礻帝,帝聲,
U+0799B,禛,0,礻眞,眞聲,
U+0799C,禜,1,營示,營省聲,
U+0799D,禝,0,礻畟,畟聲,
U+079A0,禠,0,礻虒,虒聲,
U+079A1,禡,0,礻馬,馬聲,
U+079A5,禥,0,礻基,基聲,
U+079A6,禦,1,御示,御聲,
U+079A7,禧,0,礻喜,喜聲,
U+079A9,禩,0,礻異,異聲,
U+079AA,禪,0,礻單,單聲,
U+079AC,禬,0,礻會,會聲,
U+079B0,禰,0,礻爾,爾聲,
U+079B1,禱,0,礻壽,壽聲,
U+079B3,禳,0,礻襄,襄聲,
U+079B7,禷,0,礻類,類聲,
U+079B8,禸,,禸,象形,
U+079B9,禹,B,虫厹,會意,
U+079BA,禺,1,甶禸,會意,
U+079BB,离,3,屮凶厹,會意,
U+079BC,禼,,禼,象形,
U+079BD,禽,1,畢今,今聲,
U+079BE,禾,,禾,象形,
U+079BF,禿,1,禾几,几聲,
U+079C1,私,0,禾厶,厶聲,
U+079C2,秂,1,禾人,會意,
U+079C4,秄,0,禾子,子聲,
U+079C5,秅,0,禾乇,乇聲,
U+079C6,秆,0,禾干,干聲,
U+079C9,秉,B,禾又,會意,
U+079CA,秊,1,禾千,千聲,
U+079CF,秏,0,禾毛,毛聲,
U+079D1,科,0,禾斗,禾聲,
U+079D2,秒,0,禾少,少聲,
U+079D4,秔,0,禾亢,亢聲,
U+079D5,秕,0,禾比,比聲,
U+079DC,秜,0,禾尼,尼聲,
U+079DD,秝,0,禾禾,會意,
U+079DF,租,0,禾且,且聲,
U+079E0,秠,0,禾丕,丕聲,
U+079E1,秡,0,禾犮,犮聲,
U+079E3,秣,0,禾末,末聲,
U+079E4,秤,0,禾平,平聲,
U+079E6,秦,3,午𠬞禾,會意,
U+079E7,秧,0,禾央,央聲,
U+079E8,秨,0,禾乍,乍聲,
U+079E9,秩,0,禾失,失聲,
U+079EB,秫,0,禾朮,會意,
U+079EC,秬,0,禾巨,巨聲,
U+079ED,秭,0,禾𠂔,𠂔聲,
U+079F6,秶,1,次禾,次聲,
U+079FB,移,0,禾多,多聲,
U+07A00,稀,0,禾希,希聲,
U+07A02,稂,0,禾良,良聲,
U+07A03,稃,0,禾孚,孚聲,
U+07A05,稅,0,禾兌,兌聲,
U+07A08,稈,0,禾旱,旱聲,
U+07A0B,程,0,禾呈,呈聲,
U+07A0C,稌,0,禾余,余聲,
U+07A0D,稍,0,禾肖,肖聲,
U+07A11,稑,0,禾坴,坴聲,
U+07A14,稔,0,禾念,念聲,
U+07A17,稗,0,禾卑,卑聲,
U+07A18,稘,0,禾其,其聲,
U+07A19,稙,0,禾直,直聲,
U+07A1B,稛,0,禾囷,囷聲,
U+07A1C,稜,0,禾夌,夌聲,
U+07A1E,稞,0,禾果,果聲,
U+07A1F,稟,1,㐭禾,㐭聲,
U+07A20,稠,0,禾周,周聲,
U+07A2C,稬,0,禾耎,耎聲,
U+07A2D,稭,0,禾皆,皆聲,
U+07A2E,種,0,禾重,重聲,
U+07A2F,稯,0,禾㚇,㚇聲,
U+07A31,稱,0,禾爯,爯聲,
U+07A34,稴,0,禾兼,兼聲,
U+07A37,稷,0,禾畟,畟聲,
U+07A39,稹,0,禾真,真聲,
U+07A3A,稺,0,禾屖,屖聲,
U+07A3B,稻,0,禾舀,舀聲,
U+07A3C,稼,0,禾家,家聲,
U+07A3E,稾,1,高禾,高聲,
U+07A40,穀,9,𣪊禾,𣪊聲,
U+07A43,穃,0,禾容,容聲,
U+07A44,穄,0,禾祭,祭聲,
U+07A45,穅,0,禾8,庚米,
U+07A46,穆,0,禾㣎,㣎聲,
U+07A4A,穊,0,禾旣,旣聲,
U+07A4B,穋,0,禾翏,翏聲,
U+07A4C,穌,0,魚禾,魚聲,
U+07A56,穖,0,禾幾,幾聲,
U+07A57,穗,0,禾惠,惠聲,
U+07A5C,穜,0,禾童,童聲,
U+07A5D,穝,0,禾最,最聲,
U+07A5F,穟,0,禾遂,遂聲,
U+07A61,穡,0,禾嗇,嗇聲,
U+07A62,穢,0,禾歲,歲聲,
U+07A67,穧,0,禾齊,齊聲,
U+07A69,穩,0,禾㥯,㥯聲,
U+07A6B,穫,0,禾蒦,蒦聲,
U+07A6C,穬,0,禾廣,廣聲,
U+07A6E,穮,0,禾麃,麃聲,
U+07A70,穰,0,禾襄,襄聲,
U+07A74,穴,1,宀八,八聲,
U+07A75,穵,1,穴𠃉,𠃉聲,
U+07A76,究,1,穴九,九聲,
U+07A78,穸,1,穴夕,夕聲,
U+07A79,穹,1,穴弓,弓聲,
U+07A7A,空,1,穴工,工聲,
U+07A7D,穽,1,穴井,井聲,
U+07A7F,穿,1,穴牙,會意,
U+07A80,窀,1,穴屯,屯聲,
U+07A81,突,1,穴犬,會意,
U+07A84,窄,1,穴乍,乍聲,
U+07A85,窅,1,穴目,會意,
U+07A86,窆,1,穴乏,乏聲,
U+07A88,窈,1,穴幼,幼聲,
U+07A8A,窊,1,穴瓜,瓜聲,
U+07A8B,窋,1,穴出,出聲,
U+07A90,窐,1,穴圭,圭聲,
U+07A92,窒,1,穴至,至聲,
U+07A94,窔,1,穴交,交聲,
U+07A95,窕,1,穴兆,兆聲,
U+07A96,窖,1,穴告,告聲,
U+07A97,窗,1,穴囱,囱聲,
U+07A98,窘,1,穴君,君聲,
U+07A9E,窞,1,穴臽,臽亦聲,
U+07A9F,窟,1,穴屈,屈聲,
U+07AA0,窠,1,穴果,果聲,
U+07AA1,窡,1,穴叕,叕聲,
U+07AA3,窣,1,穴卒,卒聲,
U+07AA8,窨,1,穴音,音聲,
U+07AA9,窩,1,穴咼,咼聲,
U+07AAA,窪,1,穴洼,洼聲,
U+07AAC,窬,1,穴兪,兪聲,
U+07AAF,窯,1,穴羔,羔聲,
U+07AB0,窰,1,穴䍃,䍃聲,
U+07AB1,窱,1,穴條,條聲,
U+07AB3,窳,1,穴㼌,㼌聲,
U+07AB5,窵,1,穴鳥,鳥聲,
U+07AB6,窶,1,穴婁,婁聲,
U+07ABA,窺,1,穴規,規聲,
U+07ABB,窻,1,穴悤,悤聲,
U+07ABF,窿,1,穴隆,隆聲,
U+07AC0,竀,1,穴0,正見,
U+07AC1,竁,1,穴毳,毳聲,
U+07AC4,竄,1,穴鼠,會意,
U+07AC5,竅,1,穴敫,敫聲,
U+07AC6,竆,1,穴躳,躳聲,
U+07AC8,竈,1,穴鼀,鼀聲,
U+07ACA,竊,1,穴0,釆禼,
U+07ACB,立,,立,象形,
U+07ACD,竍,0,立十,国字,
U+07ACF,竏,0,立千,国字,
U+07AD3,竓,0,立毛,国字,
U+07AD5,竕,0,立分,国字,
U+07AD8,竘,0,立句,句聲,
U+07AD9,站,0,立占,占聲,
U+07ADA,竚,0,立宁,宁聲,
U+07ADD,竝,0,立立,會意,
U+07ADF,竟,1,音儿,會意,
U+07AE0,章,1,音十,會意,
U+07AE1,竡,0,立百,国字,
U+07AE2,竢,0,立矣,矣聲,
U+07AE3,竣,0,立夋,夋聲,
U+07AE5,童,1,立重,重省聲,
U+07AE6,竦,0,立束,束聲,
U+07AEB,竫,0,立爭,爭聲,
U+07AED,竭,0,立曷,曷聲,
U+07AEF,端,0,立耑,耑聲,
U+07AF0,竰,0,立厘,国字,
U+07AF1,竱,0,立專,專聲,
U+07AF2,竲,0,立曾,曾聲,
U+07AF5,竵,0,立𩰬,𩰬聲,
U+07AF7,竷,0,章1,夅夂,
U+07AF9,竹,,竹,象形,
U+07AFA,竺,1,竹二,竹聲,
U+07AFF,竿,1,竹干,干聲,
U+07B02,笂,1,竹丸,国字,
U+07B06,笆,1,竹巴,巴聲,
U+07B08,笈,1,竹及,及聲,
U+07B0A,笊,1,竹爪,爪聲,
U+07B0D,笍,1,竹內,內聲,
U+07B0F,笏,1,竹勿,勿聲,
U+07B10,笐,1,竹亢,亢聲,
U+07B11,笑,1,竹夭,夭聲,
U+07B18,笘,1,竹占,占聲,
U+07B19,笙,1,竹生,生聲,
U+07B1B,笛,1,竹由,由聲,
U+07B1E,笞,1,竹台,台聲,
U+07B20,笠,1,竹立,立聲,
U+07B22,笢,1,竹民,民聲,
U+07B25,笥,1,竹司,司聲,
U+07B26,符,1,竹付,付聲,
U+07B28,笨,1,竹本,本聲,
U+07B2A,笪,1,竹旦,旦聲,
U+07B2B,笫,1,竹𠂔,𠂔聲,
U+07B2C,第,1,竹弟,弟聲,
U+07B2D,笭,1,竹令,令聲,
U+07B2E,笮,1,竹乍,乍聲,
U+07B2F,笯,1,竹奴,奴聲,
U+07B31,笱,1,竹句,句亦聲,
U+07B33,笳,1,竹加,加聲,
U+07B35,笵,1,竹氾,氾聲,
U+07B36,笶,1,竹矢,矢聲,
U+07B39,笹,1,竹世,国字,
U+07B3D,笽,1,竹皿,国字,
U+07B3F,笿,1,竹各,各聲,
U+07B45,筅,1,竹先,先聲,
U+07B46,筆,1,竹聿,聿聲,
U+07B49,等,1,竹寺,寺聲,
U+07B4A,筊,1,竹交,交聲,
U+07B4B,筋,1,竹0,肉力,
U+07B4C,筌,1,竹全,全聲,
U+07B4D,筍,1,竹旬,旬聲,
U+07B4F,筏,1,竹伐,伐聲,
U+07B50,筐,1,竹匡,匡聲,
U+07B51,筑,1,竹巩,巩聲,
U+07B52,筒,1,竹同,同聲,
U+07B53,筓,1,竹幵,幵聲,
U+07B54,答,1,竹合,合聲,
U+07B56,策,1,竹朿,朿聲,
U+07B5F,筟,1,竹孚,孚聲,
