,index,root,inflection,tag,rule,reg
263,263,blaspheme,blasphemed,V;PST,+d,Irregular
265,265,natter,nattered,V;PST,+ed,Regular
271,271,newform,newformed,V;PST,+ed,Regular
297,297,dunk,dunked,V;PST,+ed,Regular
303,303,sclerose,sclerosed,V;PST,+d,Irregular
309,309,preface,prefaced,V;PST,+d,Irregular
314,314,clot,clotted,V;PST,double spell,Irregular
316,316,cheek,cheeked,V;PST,+ed,Regular
334,334,reassault,reassaulted,V;PST,+ed,Regular
350,350,atspring,atsprang,V;PST,special,Irregular
355,355,min,minned,V;PST,double spell,Irregular
357,357,germanize,germanized,V;PST,+d,Irregular
361,361,kayo,kayoed,V;PST,+ed,Regular
364,364,alliance,allianced,V;PST,+d,Irregular
380,380,reindent,reindented,V;PST,+ed,Regular
382,382,bield,bielded,V;PST,+ed,Regular
386,386,misapply,misapplied,V;PST,y-ied,Irregular
387,387,dualize,dualized,V;PST,+d,Irregular
389,389,savagize,savagized,V;PST,+d,Irregular
390,390,periwig,periwigged,V;PST,double spell,Irregular
392,392,deprotect,deprotected,V;PST,+ed,Regular
395,395,patrol,patrolled,V;PST,double spell,Irregular
398,398,velarize,velarized,V;PST,+d,Irregular
399,399,necropsy,necropsied,V;PST,y-ied,Irregular
401,401,spoon-feed,spoon-fed,V;PST,special,Irregular
412,412,accordion,accordioned,V;PST,+ed,Regular
414,414,banish,banished,V;PST,+ed,Regular
418,418,foreshame,foreshamed,V;PST,+d,Irregular
426,426,backreact,backreacted,V;PST,+ed,Regular
429,429,playact,playacted,V;PST,+ed,Regular
432,432,front,fronted,V;PST,+ed,Regular
433,433,osmose,osmosed,V;PST,+d,Irregular
438,438,resensitize,resensitized,V;PST,+d,Irregular
442,442,exoticise,exoticised,V;PST,+d,Irregular
443,443,deexcite,deexcited,V;PST,+d,Irregular
447,447,hang-glide,hang-glided,V;PST,+d,Irregular
461,461,acuate,acuated,V;PST,+d,Irregular
471,471,periscope,periscoped,V;PST,+d,Irregular
476,476,prolificate,prolificated,V;PST,+d,Irregular
479,479,gangrenate,gangrenated,V;PST,+d,Irregular
480,480,hurry-skurry,hurry-skurried,V;PST,y-ied,Irregular
484,484,waulk,waulked,V;PST,+ed,Regular
486,486,ease,eased,V;PST,+d,Irregular
487,487,disfurniture,disfurnitured,V;PST,+d,Irregular
488,488,monophthongise,monophthongised,V;PST,+d,Irregular
499,499,quinella,quinellaed,V;PST,+ed,Regular
502,502,iron,ironed,V;PST,+ed,Regular
505,505,straitjacket,straitjacketed,V;PST,+ed,Regular
507,507,google,googled,V;PST,+d,Irregular
508,508,teutonicize,teutonicized,V;PST,+d,Irregular
512,512,wist,wisted,V;PST,+ed,Regular
513,513,certificate,certificated,V;PST,+d,Irregular
519,519,dung,dunged,V;PST,+ed,Regular
528,528,lend,lent,V;PST,d-t,Irregular
530,530,kiss,kissed,V;PST,+ed,Regular
543,543,impleach,impleached,V;PST,+ed,Regular
554,554,dindle,dindled,V;PST,+d,Irregular
555,555,fermentate,fermentated,V;PST,+d,Irregular
562,562,rubric,rubricked,V;PST,special,Irregular
571,571,commerce,commerced,V;PST,+d,Irregular
580,580,subtilise,subtilised,V;PST,+d,Irregular
590,590,loc,locced,V;PST,double spell,Irregular
592,592,tracheotomize,tracheotomized,V;PST,+d,Irregular
595,595,convict,convicted,V;PST,+ed,Regular
600,600,exchange,exchanged,V;PST,+d,Irregular
610,610,cybersex,cybersexed,V;PST,+ed,Regular
614,614,colourize,colourized,V;PST,+d,Irregular
622,622,hypercorrect,hypercorrected,V;PST,+ed,Regular
624,624,interplead,interpled,V;PST,special,Irregular
625,625,fordry,fordried,V;PST,y-ied,Irregular
628,628,criticise,criticised,V;PST,+d,Irregular
634,634,ulcerate,ulcerated,V;PST,+d,Irregular
636,636,overmast,overmasted,V;PST,+ed,Regular
646,646,reaccelerate,reaccelerated,V;PST,+d,Irregular
666,666,radar,radared,V;PST,+ed,Regular
670,670,actuate,actuated,V;PST,+d,Irregular
681,681,forweary,forwearied,V;PST,y-ied,Irregular
686,686,tipsify,tipsified,V;PST,y-ied,Irregular
690,690,fart,farted,V;PST,+ed,Regular
691,691,reliquefy,reliquefied,V;PST,y-ied,Irregular
692,692,luck,lucked,V;PST,+ed,Regular
699,699,sidearm,sidearmed,V;PST,+ed,Regular
716,716,nitrogenise,nitrogenised,V;PST,+d,Irregular
720,720,donate,donated,V;PST,+d,Irregular
725,725,bellyflop,bellyflopped,V;PST,double spell,Irregular
727,727,hee-haw,hee-hawed,V;PST,+ed,Regular
740,740,interdash,interdashed,V;PST,+ed,Regular
744,744,fankle,fankled,V;PST,+d,Irregular
747,747,tiff,tiffed,V;PST,+ed,Regular
748,748,forfight,forfought,V;PST,special,Irregular
753,753,pang,panged,V;PST,+ed,Regular
756,756,pasteurize,pasteurized,V;PST,+d,Irregular
758,758,chuck,chucked,V;PST,+ed,Regular
759,759,resorb,resorbed,V;PST,+ed,Regular
760,760,practice,practiced,V;PST,+d,Irregular
761,761,potentiate,potentiated,V;PST,+d,Irregular
764,764,bren,brenned,V;PST,double spell,Irregular
765,765,prophecy,prophecied,V;PST,y-ied,Irregular
768,768,curtain,curtained,V;PST,+ed,Regular
771,771,stockpile,stockpiled,V;PST,+d,Irregular
781,781,load,loaded,V;PST,+ed,Regular
787,787,fark,farked,V;PST,+ed,Regular
788,788,bollix,bollixed,V;PST,+ed,Regular
794,794,argue,argued,V;PST,+d,Irregular
795,795,head-butt,head-butted,V;PST,+ed,Regular
801,801,conditionate,conditionated,V;PST,+d,Irregular
809,809,memorialize,memorialized,V;PST,+d,Irregular
812,812,spirit,spirited,V;PST,+ed,Regular
818,818,revaluate,revaluated,V;PST,+d,Irregular
825,825,securitize,securitized,V;PST,+d,Irregular
837,837,overfarm,overfarmed,V;PST,+ed,Regular
839,839,photosensitise,photosensitized,V;PST,special,Irregular
846,846,chin,chinned,V;PST,double spell,Irregular
851,851,oversteam,oversteamed,V;PST,+ed,Regular
852,852,æmulate,æmulated,V;PST,+d,Irregular
859,859,bub,bubbed,V;PST,double spell,Irregular
860,860,overplow,overplowed,V;PST,+ed,Regular
867,867,sauce,sauced,V;PST,+d,Irregular
870,870,bemuddle,bemuddled,V;PST,+d,Irregular
879,879,latinize,latinized,V;PST,+d,Irregular
881,881,officiate,officiated,V;PST,+d,Irregular
888,888,outdo,outdid,V;PST,special,Irregular
905,905,laureate,laureated,V;PST,+d,Irregular
910,910,breaststroke,breaststroked,V;PST,+d,Irregular
912,912,nurn,nurned,V;PST,+ed,Regular
923,923,spellcheck,spellchecked,V;PST,+ed,Regular
927,927,outborrow,outborrowed,V;PST,+ed,Regular
929,929,reaffirm,reaffirmed,V;PST,+ed,Regular
932,932,recarry,recarried,V;PST,y-ied,Irregular
945,945,recover,recovered,V;PST,+ed,Regular
948,948,uncock,uncocked,V;PST,+ed,Regular
965,965,fragmentize,fragmentized,V;PST,+d,Irregular
970,970,commercialize,commercialized,V;PST,+d,Irregular
974,974,undeclare,undeclared,V;PST,+d,Irregular
975,975,translocate,translocated,V;PST,+d,Irregular
976,976,outrace,outraced,V;PST,+d,Irregular
979,979,ventilate,ventilated,V;PST,+d,Irregular
981,981,gild,gilt,V;PST,d-t,Irregular
988,988,mortalise,mortalised,V;PST,+d,Irregular
994,994,hale,haled,V;PST,+d,Irregular
996,996,retake,retook,V;PST,special,Irregular
1003,1003,decompress,decompressed,V;PST,+ed,Regular
1005,1005,aggrate,aggrated,V;PST,+d,Irregular
1008,1008,duplex,duplexed,V;PST,+ed,Regular
1011,1011,misnote,misnoted,V;PST,+d,Irregular
1015,1015,infix,infixed,V;PST,+ed,Regular
1016,1016,daunce,daunced,V;PST,+d,Irregular
1023,1023,complanate,complanated,V;PST,+d,Irregular
1029,1029,recontour,recontoured,V;PST,+ed,Regular
1035,1035,gutter,guttered,V;PST,+ed,Regular
1042,1042,awroth,awrothed,V;PST,+ed,Regular
1043,1043,dispart,disparted,V;PST,+ed,Regular
1044,1044,talebear,talebore,V;PST,special,Irregular
1051,1051,ambass,ambassed,V;PST,+ed,Regular
1059,1059,befeather,befeathered,V;PST,+ed,Regular
1061,1061,encumber,encumbered,V;PST,+ed,Regular
1062,1062,microphone,microphoned,V;PST,+d,Irregular
1064,1064,overview,overviewed,V;PST,+ed,Regular
1066,1066,outpunch,outpunched,V;PST,+ed,Regular
1068,1068,rin,ran,V;PST,special,Irregular
1075,1075,prescribe,prescribed,V;PST,+d,Irregular
1076,1076,obsolete,obsoleted,V;PST,+d,Irregular
1080,1080,choogle,choogled,V;PST,+d,Irregular
1085,1085,lignify,lignified,V;PST,y-ied,Irregular
1091,1091,stack,stacked,V;PST,+ed,Regular
1095,1095,knacker,knackered,V;PST,+ed,Regular
1096,1096,sunnitize,sunnitized,V;PST,+d,Irregular
1112,1112,chequer,chequered,V;PST,+ed,Regular
1120,1120,bescrape,bescraped,V;PST,+d,Irregular
1121,1121,shim,shimmed,V;PST,double spell,Irregular
1124,1124,mishear,misheard,V;PST,+d,Irregular
1135,1135,lawyer,lawyered,V;PST,+ed,Regular
1139,1139,sanskritise,sanskritised,V;PST,+d,Irregular
1140,1140,intertangle,intertangled,V;PST,+d,Irregular
1149,1149,reassess,reassessed,V;PST,+ed,Regular
1151,1151,screenshot,screenshotted,V;PST,double spell,Irregular
1164,1164,heave-ho,heave-hoed,V;PST,+ed,Regular
1165,1165,outslip,outslipped,V;PST,double spell,Irregular
1168,1168,eventilate,eventilated,V;PST,+d,Irregular
1170,1170,alligate,alligated,V;PST,+d,Irregular
1173,1173,pompador,pompadored,V;PST,+ed,Regular
1175,1175,prejudicate,prejudicated,V;PST,+d,Irregular
1180,1180,pollenise,pollenised,V;PST,+d,Irregular
1185,1185,rule,ruled,V;PST,+d,Irregular
1188,1188,kettle,kettled,V;PST,+d,Irregular
1189,1189,refight,refought,V;PST,special,Irregular
1196,1196,aroynt,aroynted,V;PST,+ed,Regular
1198,1198,chaun,chauned,V;PST,+ed,Regular
1203,1203,cume,cumed,V;PST,+d,Irregular
1209,1209,oppone,opponed,V;PST,+d,Irregular
1210,1210,forthlook,forthlooked,V;PST,+ed,Regular
1211,1211,rummage,rummaged,V;PST,+d,Irregular
1212,1212,dye,dyed,V;PST,+d,Irregular
1218,1218,encipher,enciphered,V;PST,+ed,Regular
1219,1219,recruit,recruited,V;PST,+ed,Regular
1220,1220,iggy,iggied,V;PST,y-ied,Irregular
1221,1221,actualize,actualized,V;PST,+d,Irregular
1242,1242,w*nk,w*nked,V;PST,+ed,Regular
1243,1243,hallelujah,hallelujahed,V;PST,+ed,Regular
1244,1244,spelch,spelched,V;PST,+ed,Regular
1250,1250,rebury,reburied,V;PST,y-ied,Irregular
1262,1262,dent,dented,V;PST,+ed,Regular
1269,1269,assecure,assecured,V;PST,+d,Irregular
1271,1271,unbethink,unbethought,V;PST,special,Irregular
1273,1273,grammar,grammared,V;PST,+ed,Regular
1275,1275,aught,aughted,V;PST,+ed,Regular
1277,1277,proctor,proctored,V;PST,+ed,Regular
1281,1281,cremate,cremated,V;PST,+d,Irregular
1289,1289,chapter,chaptered,V;PST,+ed,Regular
1291,1291,tragicize,tragicized,V;PST,+d,Irregular
1295,1295,dreep,dreeped,V;PST,+ed,Regular
1296,1296,aliene,aliened,V;PST,+d,Irregular
1301,1301,mst,msted,V;PST,+ed,Regular
1309,1309,reinstill,reinstilled,V;PST,+ed,Regular
1313,1313,suscitate,suscitated,V;PST,+d,Irregular
1324,1324,spotlight,spotlit,V;PST,special,Irregular
1327,1327,handbag,handbagged,V;PST,double spell,Irregular
1328,1328,champion,championed,V;PST,+ed,Regular
1330,1330,bedwell,bedwelt,V;PST,d-t,Irregular
1332,1332,cypher,cyphered,V;PST,+ed,Regular
1337,1337,lethargize,lethargized,V;PST,+d,Irregular
1343,1343,syndicate,syndicated,V;PST,+d,Irregular
1344,1344,describe,described,V;PST,+d,Irregular
1348,1348,undeck,undecked,V;PST,+ed,Regular
1350,1350,forslug,forslugged,V;PST,double spell,Irregular
1352,1352,inaugurate,inaugurated,V;PST,+d,Irregular
1355,1355,atreach,atreached,V;PST,+ed,Regular
1358,1358,repugnate,repugnated,V;PST,+d,Irregular
1362,1362,confabulate,confabulated,V;PST,+d,Irregular
1367,1367,renumerate,renumerated,V;PST,+d,Irregular
1368,1368,rehinge,rehinged,V;PST,+d,Irregular
1374,1374,smilt,smilted,V;PST,+ed,Regular
1375,1375,heaven,heavened,V;PST,+ed,Regular
1383,1383,abstract,abstracted,V;PST,+ed,Regular
1384,1384,dip,dipped,V;PST,double spell,Irregular
1385,1385,begirt,begirt,V;PST,d-t,Irregular
1391,1391,clink,clinked,V;PST,+ed,Regular
1392,1392,reacquaint,reacquainted,V;PST,+ed,Regular
1394,1394,sarge,sarged,V;PST,+d,Irregular
1408,1408,cross-sell,cross-sold,V;PST,special,Irregular
1411,1411,sodomize,sodomized,V;PST,+d,Irregular
1413,1413,immunosuppress,immunosuppressed,V;PST,+ed,Regular
1421,1421,mallet,malleted,V;PST,+ed,Regular
1423,1423,downdraw,downdrew,V;PST,special,Irregular
1434,1434,bogey,bogeyed,V;PST,+ed,Regular
1437,1437,muller,mullered,V;PST,+ed,Regular
1440,1440,dice,diced,V;PST,+d,Irregular
1442,1442,ebonize,ebonized,V;PST,+d,Irregular
1448,1448,somnambulate,somnambulated,V;PST,+d,Irregular
1452,1452,derisk,derisked,V;PST,+ed,Regular
1456,1456,wigwag,wigwagged,V;PST,double spell,Irregular
1460,1460,swink,swonk,V;PST,special,Irregular
1469,1469,ko,ko'd,V;PST,special,Irregular
1472,1472,circ,circed,V;PST,+ed,Regular
1475,1475,uptoss,uptossed,V;PST,+ed,Regular
1486,1486,pitter,pittered,V;PST,+ed,Regular
1487,1487,rehumanize,rehumanized,V;PST,+d,Irregular
1490,1490,unabate,unabated,V;PST,+d,Irregular
1500,1500,dumben,dumbened,V;PST,+ed,Regular
1503,1503,lime,limed,V;PST,+d,Irregular
1510,1510,chromakey,chromakeyed,V;PST,+ed,Regular
1523,1523,foresignify,foresignified,V;PST,y-ied,Irregular
1527,1527,guddle,guddled,V;PST,+d,Irregular
1529,1529,disanimate,disanimated,V;PST,+d,Irregular
1536,1536,disendow,disendowed,V;PST,+ed,Regular
1545,1545,unbrace,unbraced,V;PST,+d,Irregular
1546,1546,inject,injected,V;PST,+ed,Regular
1550,1550,gale,gole,V;PST,special,Irregular
1552,1552,limbec,limbecked,V;PST,special,Irregular
1557,1557,monkey,monkied,V;PST,special,Irregular
1561,1561,double-bank,double-banked,V;PST,+ed,Regular
1562,1562,flabberghast,flabberghasted,V;PST,+ed,Regular
1563,1563,encasket,encasketed,V;PST,+ed,Regular
1565,1565,preclude,precluded,V;PST,+d,Irregular
1570,1570,umbrella,umbrellaed,V;PST,+ed,Regular
1572,1572,neoterise,neoterised,V;PST,+d,Irregular
1578,1578,felter,feltered,V;PST,+ed,Regular
1583,1583,ingerminate,ingerminated,V;PST,+d,Irregular
1586,1586,clip-clop,clip-clopped,V;PST,double spell,Irregular
1588,1588,sink,sank,V;PST,special,Irregular
1594,1594,photostabilize,photostabilized,V;PST,+d,Irregular
1601,1601,compound,compounded,V;PST,+ed,Regular
1604,1604,rift,rifted,V;PST,+ed,Regular
1605,1605,lase,lased,V;PST,+d,Irregular
1606,1606,afear,afeared,V;PST,+ed,Regular
1608,1608,glair,glaired,V;PST,+ed,Regular
1609,1609,neologise,neologised,V;PST,+d,Irregular
1623,1623,soccer,soccered,V;PST,+ed,Regular
1629,1629,unchristianize,unchristianized,V;PST,+d,Irregular
1646,1646,overpay,overpaid,V;PST,special,Irregular
1647,1647,halal,halaled,V;PST,+ed,Regular
1651,1651,perendinate,perendinated,V;PST,+d,Irregular
1652,1652,adrenalectomise,adrenalectomised,V;PST,+d,Irregular
1670,1670,stridulate,stridulated,V;PST,+d,Irregular
1674,1674,muffle,muffled,V;PST,+d,Irregular
1688,1688,campus,campused,V;PST,+ed,Regular
1689,1689,outcon,outconned,V;PST,double spell,Irregular
1691,1691,misderive,misderived,V;PST,+d,Irregular
1709,1709,firebomb,firebombed,V;PST,+ed,Regular
1715,1715,skelp,skelped,V;PST,+ed,Regular
1728,1728,odorise,odorised,V;PST,+d,Irregular
1735,1735,finify,finified,V;PST,y-ied,Irregular
1740,1740,bootjack,bootjacked,V;PST,+ed,Regular
1749,1749,frizz,frizzed,V;PST,+ed,Regular
1750,1750,thwap,thwapped,V;PST,double spell,Irregular
1753,1753,flatulate,flatulated,V;PST,+d,Irregular
1756,1756,abray,abrayed,V;PST,+ed,Regular
1768,1768,bilge,bilged,V;PST,+d,Irregular
1769,1769,soften,softened,V;PST,+ed,Regular
1788,1788,shard,sharded,V;PST,+ed,Regular
1791,1791,tousel,touselled,V;PST,double spell,Irregular
1792,1792,cooperate,cooperated,V;PST,+d,Irregular
1794,1794,canter,cantered,V;PST,+ed,Regular
1799,1799,pipeclay,pipeclayed,V;PST,+ed,Regular
1801,1801,pick,picked,V;PST,+ed,Regular
1803,1803,contradistinguish,contradistinguished,V;PST,+ed,Regular
1816,1816,indevour,indevoured,V;PST,+ed,Regular
1819,1819,dishonour,dishonoured,V;PST,+ed,Regular
1840,1840,carry,carried,V;PST,y-ied,Irregular
1843,1843,animadvert,animadverted,V;PST,+ed,Regular
1850,1850,truant,truanted,V;PST,+ed,Regular
1851,1851,mythologize,mythologized,V;PST,+d,Irregular
1862,1862,machine,machined,V;PST,+d,Irregular
1866,1866,bein,beined,V;PST,+ed,Regular
1867,1867,outwind,outwound,V;PST,special,Irregular
1868,1868,slent,slented,V;PST,+ed,Regular
1878,1878,overfeed,overfed,V;PST,special,Irregular
1879,1879,cosupervise,cosupervised,V;PST,+d,Irregular
1892,1892,shylock,shylocked,V;PST,+ed,Regular
1908,1908,louche,louched,V;PST,+d,Irregular
1910,1910,re-dye,re-dyed,V;PST,+d,Irregular
1914,1914,bevvy,bevvied,V;PST,y-ied,Irregular
1915,1915,inventory,inventoried,V;PST,y-ied,Irregular
1923,1923,amel,ameled,V;PST,+ed,Regular
1925,1925,perlustrate,perlustrated,V;PST,+d,Irregular
1927,1927,ghosten,ghostened,V;PST,+ed,Regular
1929,1929,degarnish,degarnished,V;PST,+ed,Regular
1937,1937,monodisperse,monodispersed,V;PST,+d,Irregular
1940,1940,militarise,militarised,V;PST,+d,Irregular
1941,1941,unsake,unsook,V;PST,special,Irregular
1942,1942,cachinnate,cachinnated,V;PST,+d,Irregular
1945,1945,cyberize,cyberized,V;PST,+d,Irregular
1947,1947,unrar,unrarred,V;PST,double spell,Irregular
1948,1948,deshuffle,deshuffled,V;PST,+d,Irregular
1950,1950,geranylate,geranylated,V;PST,+d,Irregular
1957,1957,double-shot,double-shotted,V;PST,double spell,Irregular
1970,1970,cozy,cozied,V;PST,y-ied,Irregular
1971,1971,pamperize,pamperized,V;PST,+d,Irregular
1972,1972,abjudicate,abjudicated,V;PST,+d,Irregular
1976,1976,uphelm,uphelmed,V;PST,+ed,Regular
1984,1984,hillo,hilloed,V;PST,+ed,Regular
1986,1986,text,text,V;PST,d-t,Irregular
2000,2000,ding,dinged,V;PST,+ed,Regular
2010,2010,dogmatize,dogmatized,V;PST,+d,Irregular
2015,2015,bemoil,bemoiled,V;PST,+ed,Regular
2024,2024,make,made,V;PST,special,Irregular
2030,2030,reprune,repruned,V;PST,+d,Irregular
2033,2033,enact,enacted,V;PST,+ed,Regular
2034,2034,prill,prilled,V;PST,+ed,Regular
2052,2052,paean,paeaned,V;PST,+ed,Regular
2054,2054,desanctify,desanctified,V;PST,y-ied,Irregular
2055,2055,hothouse,hothoused,V;PST,+d,Irregular
2061,2061,concrete,concreted,V;PST,+d,Irregular
2062,2062,contact,contacted,V;PST,+ed,Regular
2064,2064,anagrammatize,anagrammatized,V;PST,+d,Irregular
2065,2065,efflux,effluxed,V;PST,+ed,Regular
2067,2067,quiet,quieted,V;PST,+ed,Regular
2070,2070,flit,flitted,V;PST,double spell,Irregular
2072,2072,underhold,underheld,V;PST,special,Irregular
2076,2076,unflag,unflagged,V;PST,double spell,Irregular
2082,2082,bullock,bullocked,V;PST,+ed,Regular
2084,2084,home,homed,V;PST,+d,Irregular
2105,2105,funnel,funnelled,V;PST,double spell,Irregular
2107,2107,unknow,unknew,V;PST,special,Irregular
2108,2108,babble,babbled,V;PST,+d,Irregular
2114,2114,lancinate,lancinated,V;PST,+d,Irregular
2123,2123,betrust,betrusted,V;PST,+ed,Regular
2125,2125,forwarn,forwarned,V;PST,+ed,Regular
2133,2133,snot,snotted,V;PST,double spell,Irregular
2134,2134,resheathe,resheathed,V;PST,+d,Irregular
2145,2145,deculture,decultured,V;PST,+d,Irregular
2161,2161,pressurize,pressurized,V;PST,+d,Irregular
2163,2163,recarve,recarved,V;PST,+d,Irregular
2165,2165,under-approximate,under-approximated,V;PST,+d,Irregular
2173,2173,personify,personified,V;PST,y-ied,Irregular
2176,2176,præjudice,præjudiced,V;PST,+d,Irregular
2192,2192,juvenilize,juvenilized,V;PST,+d,Irregular
2197,2197,jetski,jetskied,V;PST,+ed,Regular
2203,2203,soundtrack,soundtracked,V;PST,+ed,Regular
2205,2205,stoor,stoored,V;PST,+ed,Regular
2208,2208,premise,premised,V;PST,+d,Irregular
2209,2209,gangle,gangled,V;PST,+d,Irregular
2212,2212,minorate,minorated,V;PST,+d,Irregular
2221,2221,malayize,malayized,V;PST,+d,Irregular
2229,2229,jump,jumped,V;PST,+ed,Regular
2248,2248,forshorten,forshortened,V;PST,+ed,Regular
2249,2249,geniculate,geniculated,V;PST,+d,Irregular
2251,2251,waitlist,waitlisted,V;PST,+ed,Regular
2256,2256,telescope,telescoped,V;PST,+d,Irregular
2260,2260,snirtle,snirtled,V;PST,+d,Irregular
2263,2263,keyword,keyworded,V;PST,+ed,Regular
2265,2265,photograph,photographed,V;PST,+ed,Regular
2276,2276,stabilize,stabilized,V;PST,+d,Irregular
2279,2279,rekey,rekeyed,V;PST,+ed,Regular
2280,2280,interfile,interfiled,V;PST,+d,Irregular
2300,2300,canadianise,canadianised,V;PST,+d,Irregular
2308,2308,mocque,mocqued,V;PST,+d,Irregular
2311,2311,unbandage,unbandaged,V;PST,+d,Irregular
2313,2313,tinplate,tinplated,V;PST,+d,Irregular
2334,2334,albumenize,albumenized,V;PST,+d,Irregular
2335,2335,cabbage,cabbaged,V;PST,+d,Irregular
2340,2340,roger,rogered,V;PST,+ed,Regular
2341,2341,hog,hogged,V;PST,double spell,Irregular
2344,2344,degrade,degraded,V;PST,+d,Irregular
2346,2346,predeliberate,predeliberated,V;PST,+d,Irregular
2348,2348,deeky,deekied,V;PST,y-ied,Irregular
2355,2355,blow,blew,V;PST,special,Irregular
2363,2363,reverb,reverbed,V;PST,+ed,Regular
2369,2369,hearken,hearkened,V;PST,+ed,Regular
2371,2371,hag,hagged,V;PST,double spell,Irregular
2382,2382,insimulate,insimulated,V;PST,+d,Irregular
2388,2388,alphabet,alphabeted,V;PST,+ed,Regular
2391,2391,waterflood,waterflooded,V;PST,+ed,Regular
2395,2395,deverbalise,deverbalised,V;PST,+d,Irregular
2398,2398,stratify,stratified,V;PST,y-ied,Irregular
2401,2401,gift,gifted,V;PST,+ed,Regular
2406,2406,ringbark,ringbarked,V;PST,+ed,Regular
2412,2412,whish,whished,V;PST,+ed,Regular
2428,2428,functionate,functionated,V;PST,+d,Irregular
2435,2435,allomother,allomothered,V;PST,+ed,Regular
2442,2442,verticalize,verticalized,V;PST,+d,Irregular
2445,2445,deobstruct,deobstructed,V;PST,+ed,Regular
2453,2453,jell,jelled,V;PST,+ed,Regular
2460,2460,snippet,snippetted,V;PST,double spell,Irregular
2464,2464,reinduce,reinduced,V;PST,+d,Irregular
2469,2469,deform,deformed,V;PST,+ed,Regular
2478,2478,ascend,ascended,V;PST,+ed,Regular
2487,2487,diamond,diamonded,V;PST,+ed,Regular
2493,2493,hearten,heartened,V;PST,+ed,Regular
2494,2494,lek,lekked,V;PST,double spell,Irregular
2497,2497,undeify,undeified,V;PST,y-ied,Irregular
2498,2498,transverberate,transverberated,V;PST,+d,Irregular
2506,2506,manscape,manscaped,V;PST,+d,Irregular
2513,2513,shame,shamed,V;PST,+d,Irregular
2519,2519,misaddress,misaddressed,V;PST,+ed,Regular
2520,2520,pdf,pdfed,V;PST,+ed,Regular
2523,2523,signiorize,signiorized,V;PST,+d,Irregular
2529,2529,creepify,creepified,V;PST,y-ied,Irregular
2532,2532,elixate,elixated,V;PST,+d,Irregular
2535,2535,tyek,took,V;PST,special,Irregular
2536,2536,canoe,canoed,V;PST,+d,Irregular
2538,2538,cherish,cherished,V;PST,+ed,Regular
2545,2545,cark,carked,V;PST,+ed,Regular
2554,2554,preexist,preexisted,V;PST,+ed,Regular
2563,2563,hill,hilled,V;PST,+ed,Regular
2567,2567,meach,meached,V;PST,+ed,Regular
2569,2569,excede,exceded,V;PST,+d,Irregular
2571,2571,aerobicize,aerobicized,V;PST,+d,Irregular
