,index,root,inflection,tag,rule,reg
425,425,foreplay,foreplaying,V;V.PTCP;PRS,+ing,Regular
437,437,window-shop,window-shopping,V;V.PTCP;PRS,double spell,Irregular
440,440,immingle,immingling,V;V.PTCP;PRS,-e+ing,Irregular
448,448,roost,roosting,V;V.PTCP;PRS,+ing,Regular
451,451,copper-fasten,copper-fastening,V;V.PTCP;PRS,+ing,Regular
452,452,tip-toe,tip-toeing,V;V.PTCP;PRS,+ing,Regular
455,455,cryoprotect,cryoprotecting,V;V.PTCP;PRS,+ing,Regular
465,465,traduce,traducing,V;V.PTCP;PRS,-e+ing,Irregular
466,466,rix,rixing,V;V.PTCP;PRS,+ing,Regular
469,469,recall,recalling,V;V.PTCP;PRS,+ing,Regular
495,495,arcweld,arcwelding,V;V.PTCP;PRS,+ing,Regular
497,497,overcloy,overcloying,V;V.PTCP;PRS,+ing,Regular
501,501,reinterview,reinterviewing,V;V.PTCP;PRS,+ing,Regular
503,503,ean,eaning,V;V.PTCP;PRS,+ing,Regular
504,504,overname,overnaming,V;V.PTCP;PRS,-e+ing,Irregular
506,506,squit,squitting,V;V.PTCP;PRS,double spell,Irregular
510,510,vaporize,vaporizing,V;V.PTCP;PRS,-e+ing,Irregular
511,511,reinfiltrate,reinfiltrating,V;V.PTCP;PRS,-e+ing,Irregular
518,518,caracol,caracolling,V;V.PTCP;PRS,double spell,Irregular
521,521,narc,narcing,V;V.PTCP;PRS,+ing,Regular
522,522,upbreed,upbreeding,V;V.PTCP;PRS,+ing,Regular
531,531,elixate,elixating,V;V.PTCP;PRS,-e+ing,Irregular
533,533,wan't,wan'ting,V;V.PTCP;PRS,+ing,Regular
544,544,fangle,fangling,V;V.PTCP;PRS,-e+ing,Irregular
550,550,cryosection,cryosectioning,V;V.PTCP;PRS,+ing,Regular
552,552,leaze,leazing,V;V.PTCP;PRS,-e+ing,Irregular
556,556,inshrine,inshrining,V;V.PTCP;PRS,-e+ing,Irregular
558,558,aromatize,aromatizing,V;V.PTCP;PRS,-e+ing,Irregular
567,567,spangle,spangling,V;V.PTCP;PRS,-e+ing,Irregular
573,573,itemize,itemizing,V;V.PTCP;PRS,-e+ing,Irregular
574,574,choogle,choogling,V;V.PTCP;PRS,-e+ing,Irregular
577,577,sinch,sinching,V;V.PTCP;PRS,+ing,Regular
578,578,overflow,overflowing,V;V.PTCP;PRS,+ing,Regular
581,581,warehouse,warehousing,V;V.PTCP;PRS,-e+ing,Irregular
586,586,dillydally,dillydallying,V;V.PTCP;PRS,+ing,Regular
587,587,formirken,formirkening,V;V.PTCP;PRS,+ing,Regular
589,589,decrypt,decrypting,V;V.PTCP;PRS,+ing,Regular
604,604,assassinate,assassinating,V;V.PTCP;PRS,-e+ing,Irregular
606,606,testern,testerning,V;V.PTCP;PRS,+ing,Regular
616,616,hypercriticize,hypercriticizing,V;V.PTCP;PRS,-e+ing,Irregular
619,619,bespit,bespitting,V;V.PTCP;PRS,double spell,Irregular
621,621,recourse,recoursing,V;V.PTCP;PRS,-e+ing,Irregular
626,626,supererogate,supererogating,V;V.PTCP;PRS,-e+ing,Irregular
639,639,itch,itching,V;V.PTCP;PRS,+ing,Regular
654,654,arise,arising,V;V.PTCP;PRS,-e+ing,Irregular
659,659,laconize,laconizing,V;V.PTCP;PRS,-e+ing,Irregular
671,671,aeriate,aeriating,V;V.PTCP;PRS,-e+ing,Irregular
676,676,decrement,decrementing,V;V.PTCP;PRS,+ing,Regular
679,679,gateway,gatewaying,V;V.PTCP;PRS,+ing,Regular
682,682,mend,mending,V;V.PTCP;PRS,+ing,Regular
684,684,begem,begemming,V;V.PTCP;PRS,double spell,Irregular
688,688,pontificate,pontificating,V;V.PTCP;PRS,-e+ing,Irregular
694,694,manumit,manumitting,V;V.PTCP;PRS,double spell,Irregular
697,697,phonate,phonating,V;V.PTCP;PRS,-e+ing,Irregular
698,698,emule,emuling,V;V.PTCP;PRS,-e+ing,Irregular
700,700,larn,larnin,V;V.PTCP;PRS,special,Irregular
702,702,repaganize,repaganizing,V;V.PTCP;PRS,-e+ing,Irregular
703,703,yackety-yak,yackety-yakking,V;V.PTCP;PRS,double spell,Irregular
712,712,syndicate,syndicating,V;V.PTCP;PRS,-e+ing,Irregular
713,713,bearproof,bearproofing,V;V.PTCP;PRS,+ing,Regular
715,715,tread,treading,V;V.PTCP;PRS,+ing,Regular
721,721,blindstitch,blindstitching,V;V.PTCP;PRS,+ing,Regular
724,724,brob,brobbing,V;V.PTCP;PRS,double spell,Irregular
726,726,antisepticise,antisepticising,V;V.PTCP;PRS,-e+ing,Irregular
732,732,instore,instoring,V;V.PTCP;PRS,-e+ing,Irregular
735,735,pickaxe,pickaxing,V;V.PTCP;PRS,-e+ing,Irregular
736,736,couch-surf,couch-surfing,V;V.PTCP;PRS,+ing,Regular
739,739,intoxicate,intoxicating,V;V.PTCP;PRS,-e+ing,Irregular
741,741,hebraize,hebraizing,V;V.PTCP;PRS,-e+ing,Irregular
749,749,acclamate,acclamating,V;V.PTCP;PRS,-e+ing,Irregular
751,751,forebring,forebringing,V;V.PTCP;PRS,+ing,Regular
754,754,jot,jotting,V;V.PTCP;PRS,double spell,Irregular
762,762,snowproof,snowproofing,V;V.PTCP;PRS,+ing,Regular
774,774,jig-jig,jig-jigging,V;V.PTCP;PRS,double spell,Irregular
775,775,coak,coaking,V;V.PTCP;PRS,+ing,Regular
778,778,wafer,wafering,V;V.PTCP;PRS,+ing,Regular
784,784,counterweight,counterweighting,V;V.PTCP;PRS,+ing,Regular
789,789,transshift,transshifting,V;V.PTCP;PRS,+ing,Regular
790,790,phlebotomize,phlebotomizing,V;V.PTCP;PRS,-e+ing,Irregular
805,805,peregrinate,peregrinating,V;V.PTCP;PRS,-e+ing,Irregular
813,813,unabate,unabating,V;V.PTCP;PRS,-e+ing,Irregular
815,815,adipocerate,adipocerating,V;V.PTCP;PRS,-e+ing,Irregular
819,819,subnet,subnetting,V;V.PTCP;PRS,double spell,Irregular
821,821,throe,throeing,V;V.PTCP;PRS,+ing,Regular
830,830,apocopate,apocopating,V;V.PTCP;PRS,-e+ing,Irregular
831,831,retherm,retherming,V;V.PTCP;PRS,+ing,Regular
832,832,cross-dress,cross-dressing,V;V.PTCP;PRS,+ing,Regular
842,842,sleave,sleaving,V;V.PTCP;PRS,-e+ing,Irregular
856,856,ree,reeing,V;V.PTCP;PRS,+ing,Regular
861,861,guesstimate,guesstimating,V;V.PTCP;PRS,-e+ing,Irregular
865,865,downlink,downlinking,V;V.PTCP;PRS,+ing,Regular
866,866,courier,couriering,V;V.PTCP;PRS,+ing,Regular
868,868,dye,dyeing,V;V.PTCP;PRS,+ing,Regular
874,874,perennialize,perennializing,V;V.PTCP;PRS,-e+ing,Irregular
882,882,emancipate,emancipating,V;V.PTCP;PRS,-e+ing,Irregular
894,894,scumber,scumbering,V;V.PTCP;PRS,+ing,Regular
897,897,absume,absuming,V;V.PTCP;PRS,-e+ing,Irregular
903,903,coy,coying,V;V.PTCP;PRS,+ing,Regular
908,908,gearshift,gearshifting,V;V.PTCP;PRS,+ing,Regular
917,917,snive,sniving,V;V.PTCP;PRS,-e+ing,Irregular
921,921,remuddle,remuddling,V;V.PTCP;PRS,-e+ing,Irregular
936,936,lour,louring,V;V.PTCP;PRS,+ing,Regular
938,938,sodomise,sodomising,V;V.PTCP;PRS,-e+ing,Irregular
942,942,thunder,thundering,V;V.PTCP;PRS,+ing,Regular
943,943,rambolt,rambolting,V;V.PTCP;PRS,+ing,Regular
951,951,supplace,supplacing,V;V.PTCP;PRS,-e+ing,Irregular
952,952,mistune,mistuning,V;V.PTCP;PRS,-e+ing,Irregular
953,953,tremp,tremping,V;V.PTCP;PRS,+ing,Regular
955,955,scummer,scummering,V;V.PTCP;PRS,+ing,Regular
957,957,moisturize,moisturizing,V;V.PTCP;PRS,-e+ing,Irregular
962,962,outmarch,outmarching,V;V.PTCP;PRS,+ing,Regular
985,985,scern,scerning,V;V.PTCP;PRS,+ing,Regular
991,991,cover,covering,V;V.PTCP;PRS,+ing,Regular
993,993,snowflake,snowflaking,V;V.PTCP;PRS,-e+ing,Irregular
999,999,attaminate,attaminating,V;V.PTCP;PRS,-e+ing,Irregular
1004,1004,cosediment,cosedimenting,V;V.PTCP;PRS,+ing,Regular
1006,1006,unmark,unmarking,V;V.PTCP;PRS,+ing,Regular
1009,1009,admix,admixing,V;V.PTCP;PRS,+ing,Regular
1010,1010,post-decrement,post-decrementing,V;V.PTCP;PRS,+ing,Regular
1013,1013,interculturalize,interculturalizing,V;V.PTCP;PRS,-e+ing,Irregular
1027,1027,scroll,scrolling,V;V.PTCP;PRS,+ing,Regular
1034,1034,philosophy,philosophying,V;V.PTCP;PRS,+ing,Regular
1041,1041,neuroticize,neuroticizing,V;V.PTCP;PRS,-e+ing,Irregular
1046,1046,appeal,appealing,V;V.PTCP;PRS,+ing,Regular
1052,1052,bustle,bustling,V;V.PTCP;PRS,-e+ing,Irregular
1055,1055,forwonder,forwondering,V;V.PTCP;PRS,+ing,Regular
1056,1056,enable,enabling,V;V.PTCP;PRS,-e+ing,Irregular
1060,1060,promogulate,promogulating,V;V.PTCP;PRS,-e+ing,Irregular
1063,1063,unduke,unduking,V;V.PTCP;PRS,-e+ing,Irregular
1065,1065,photometer,photometering,V;V.PTCP;PRS,+ing,Regular
1071,1071,steven,stevening,V;V.PTCP;PRS,+ing,Regular
1073,1073,decapsulate,decapsulating,V;V.PTCP;PRS,-e+ing,Irregular
1077,1077,crash-land,crash-landing,V;V.PTCP;PRS,+ing,Regular
1082,1082,exhibit,exhibiting,V;V.PTCP;PRS,+ing,Regular
1084,1084,overdecorate,overdecorating,V;V.PTCP;PRS,-e+ing,Irregular
1087,1087,libidinize,libidinizing,V;V.PTCP;PRS,-e+ing,Irregular
1127,1127,detribalize,detribalizing,V;V.PTCP;PRS,-e+ing,Irregular
1132,1132,outthink,outthinking,V;V.PTCP;PRS,+ing,Regular
1134,1134,readept,readepting,V;V.PTCP;PRS,+ing,Regular
1148,1148,depatriarchalize,depatriarchalizing,V;V.PTCP;PRS,-e+ing,Irregular
1150,1150,lobby,lobbying,V;V.PTCP;PRS,+ing,Regular
1152,1152,rotovate,rotovating,V;V.PTCP;PRS,-e+ing,Irregular
1155,1155,poundage,poundaging,V;V.PTCP;PRS,-e+ing,Irregular
1172,1172,overwhip,overwhipping,V;V.PTCP;PRS,double spell,Irregular
1176,1176,shemozzle,shemozzling,V;V.PTCP;PRS,-e+ing,Irregular
1181,1181,reprogram,reprogramming,V;V.PTCP;PRS,double spell,Irregular
1184,1184,brush,brushing,V;V.PTCP;PRS,+ing,Regular
1195,1195,umshade,umshading,V;V.PTCP;PRS,-e+ing,Irregular
1200,1200,unapparel,unapparelling,V;V.PTCP;PRS,double spell,Irregular
1213,1213,impen,impenning,V;V.PTCP;PRS,double spell,Irregular
1224,1224,cyclomerize,cyclomerizing,V;V.PTCP;PRS,-e+ing,Irregular
1231,1231,hammer,hammering,V;V.PTCP;PRS,+ing,Regular
1235,1235,incrassate,incrassating,V;V.PTCP;PRS,-e+ing,Irregular
1245,1245,overcarry,overcarrying,V;V.PTCP;PRS,+ing,Regular
1257,1257,beclumpse,beclumpsing,V;V.PTCP;PRS,-e+ing,Irregular
1259,1259,underfurnish,underfurnishing,V;V.PTCP;PRS,+ing,Regular
1260,1260,theologize,theologizing,V;V.PTCP;PRS,-e+ing,Irregular
1263,1263,freeroll,freerolling,V;V.PTCP;PRS,+ing,Regular
1265,1265,overagitate,overagitating,V;V.PTCP;PRS,-e+ing,Irregular
1267,1267,reunderstand,reunderstanding,V;V.PTCP;PRS,+ing,Regular
1282,1282,crossbite,crossbiting,V;V.PTCP;PRS,-e+ing,Irregular
1284,1284,well,welling,V;V.PTCP;PRS,+ing,Regular
1287,1287,endear,endearing,V;V.PTCP;PRS,+ing,Regular
1299,1299,remanure,remanuring,V;V.PTCP;PRS,-e+ing,Irregular
1300,1300,satisfy,satisfying,V;V.PTCP;PRS,+ing,Regular
1304,1304,rue,ruing,V;V.PTCP;PRS,-e+ing,Irregular
1320,1320,scavage,scavaging,V;V.PTCP;PRS,-e+ing,Irregular
1331,1331,accustomize,accustomizing,V;V.PTCP;PRS,-e+ing,Irregular
1346,1346,fraternise,fraternising,V;V.PTCP;PRS,-e+ing,Irregular
1347,1347,mime,miming,V;V.PTCP;PRS,-e+ing,Irregular
1364,1364,roin,roining,V;V.PTCP;PRS,+ing,Regular
1371,1371,ruden,rudening,V;V.PTCP;PRS,+ing,Regular
1372,1372,squick,squicking,V;V.PTCP;PRS,+ing,Regular
1373,1373,chauffeur,chauffeuring,V;V.PTCP;PRS,+ing,Regular
1387,1387,shame,shaming,V;V.PTCP;PRS,-e+ing,Irregular
1388,1388,squee,squeeing,V;V.PTCP;PRS,+ing,Regular
1395,1395,kaleidoscope,kaleidoscoping,V;V.PTCP;PRS,-e+ing,Irregular
1401,1401,drowse,drowsing,V;V.PTCP;PRS,-e+ing,Irregular
1407,1407,relent,relenting,V;V.PTCP;PRS,+ing,Regular
1409,1409,controverse,controversing,V;V.PTCP;PRS,-e+ing,Irregular
1415,1415,furbelow,furbelowing,V;V.PTCP;PRS,+ing,Regular
1418,1418,pauperise,pauperising,V;V.PTCP;PRS,-e+ing,Irregular
1425,1425,defocus,defocusing,V;V.PTCP;PRS,+ing,Regular
1439,1439,cybersex,cybersexing,V;V.PTCP;PRS,+ing,Regular
1441,1441,perflate,perflating,V;V.PTCP;PRS,-e+ing,Irregular
1444,1444,outsleep,outsleeping,V;V.PTCP;PRS,+ing,Regular
1445,1445,reembody,reembodying,V;V.PTCP;PRS,+ing,Regular
1446,1446,worse,worsing,V;V.PTCP;PRS,-e+ing,Irregular
1449,1449,divide,dividing,V;V.PTCP;PRS,-e+ing,Irregular
1450,1450,strumpet,strumpeting,V;V.PTCP;PRS,+ing,Regular
1465,1465,work,working,V;V.PTCP;PRS,+ing,Regular
1471,1471,foretrust,foretrusting,V;V.PTCP;PRS,+ing,Regular
1483,1483,infarce,infarcing,V;V.PTCP;PRS,-e+ing,Irregular
1485,1485,fullend,fullending,V;V.PTCP;PRS,+ing,Regular
1488,1488,broker,brokering,V;V.PTCP;PRS,+ing,Regular
1489,1489,reimprison,reimprisoning,V;V.PTCP;PRS,+ing,Regular
1491,1491,flipflop,flipflopping,V;V.PTCP;PRS,double spell,Irregular
1494,1494,precel,precelling,V;V.PTCP;PRS,double spell,Irregular
1497,1497,bewatch,bewatching,V;V.PTCP;PRS,+ing,Regular
1506,1506,outserve,outserving,V;V.PTCP;PRS,-e+ing,Irregular
1522,1522,abend,abending,V;V.PTCP;PRS,+ing,Regular
1534,1534,log,logging,V;V.PTCP;PRS,double spell,Irregular
1535,1535,copurify,copurifying,V;V.PTCP;PRS,+ing,Regular
1542,1542,unblur,unblurring,V;V.PTCP;PRS,double spell,Irregular
1547,1547,gobsmack,gobsmacking,V;V.PTCP;PRS,+ing,Regular
1555,1555,flier,fliering,V;V.PTCP;PRS,+ing,Regular
1567,1567,thrid,thridding,V;V.PTCP;PRS,double spell,Irregular
1568,1568,yaup,yauping,V;V.PTCP;PRS,+ing,Regular
1595,1595,potentiate,potentiating,V;V.PTCP;PRS,-e+ing,Irregular
1603,1603,dub,dubbing,V;V.PTCP;PRS,double spell,Irregular
1607,1607,drip-dry,drip-drying,V;V.PTCP;PRS,+ing,Regular
1612,1612,susurrate,susurrating,V;V.PTCP;PRS,-e+ing,Irregular
1615,1615,premodify,premodifying,V;V.PTCP;PRS,+ing,Regular
1624,1624,interject,interjecting,V;V.PTCP;PRS,+ing,Regular
1648,1648,mangle,mangling,V;V.PTCP;PRS,-e+ing,Irregular
1649,1649,travail,travailing,V;V.PTCP;PRS,+ing,Regular
1650,1650,overtop,overtopping,V;V.PTCP;PRS,double spell,Irregular
1653,1653,orthorectify,orthorectifiing,V;V.PTCP;PRS,special,Irregular
1655,1655,wheek,wheeking,V;V.PTCP;PRS,+ing,Regular
1657,1657,sonorize,sonorizing,V;V.PTCP;PRS,-e+ing,Irregular
1660,1660,laminate,laminating,V;V.PTCP;PRS,-e+ing,Irregular
1668,1668,desensitize,desensitizing,V;V.PTCP;PRS,-e+ing,Irregular
1671,1671,handbag,handbagging,V;V.PTCP;PRS,double spell,Irregular
1672,1672,unplug,unplugging,V;V.PTCP;PRS,double spell,Irregular
1676,1676,tell,telling,V;V.PTCP;PRS,+ing,Regular
1677,1677,slew,slewing,V;V.PTCP;PRS,+ing,Regular
1678,1678,powder,powdering,V;V.PTCP;PRS,+ing,Regular
1697,1697,neglect,neglecting,V;V.PTCP;PRS,+ing,Regular
1700,1700,fangirl,fangirling,V;V.PTCP;PRS,+ing,Regular
1705,1705,sodden,soddening,V;V.PTCP;PRS,+ing,Regular
1714,1714,yodel,yodelling,V;V.PTCP;PRS,double spell,Irregular
1721,1721,onhold,onholding,V;V.PTCP;PRS,+ing,Regular
1727,1727,acidulate,acidulating,V;V.PTCP;PRS,-e+ing,Irregular
1729,1729,hobo,hoboing,V;V.PTCP;PRS,+ing,Regular
1737,1737,soccer,soccering,V;V.PTCP;PRS,+ing,Regular
1742,1742,overwax,overwaxing,V;V.PTCP;PRS,+ing,Regular
1744,1744,meddle,meddling,V;V.PTCP;PRS,-e+ing,Irregular
1748,1748,resize,resizing,V;V.PTCP;PRS,-e+ing,Irregular
1755,1755,hyperregulate,hyperregulating,V;V.PTCP;PRS,-e+ing,Irregular
1757,1757,re-attach,re-attaching,V;V.PTCP;PRS,+ing,Regular
1761,1761,strike,striking,V;V.PTCP;PRS,-e+ing,Irregular
1762,1762,skydive,skydiving,V;V.PTCP;PRS,-e+ing,Irregular
1767,1767,polarize,polarizing,V;V.PTCP;PRS,-e+ing,Irregular
1770,1770,unline,unlining,V;V.PTCP;PRS,-e+ing,Irregular
1772,1772,unprovide,unproviding,V;V.PTCP;PRS,-e+ing,Irregular
1774,1774,unqueen,unqueening,V;V.PTCP;PRS,+ing,Regular
1775,1775,bequiver,bequivering,V;V.PTCP;PRS,+ing,Regular
1776,1776,squeeze,squeezing,V;V.PTCP;PRS,-e+ing,Irregular
1778,1778,reproduce,reproducing,V;V.PTCP;PRS,-e+ing,Irregular
1779,1779,ocr,ocring,V;V.PTCP;PRS,+ing,Regular
1782,1782,begrip,begripping,V;V.PTCP;PRS,double spell,Irregular
1785,1785,overfocus,overfocussing,V;V.PTCP;PRS,double spell,Irregular
1787,1787,restopper,restoppering,V;V.PTCP;PRS,+ing,Regular
1793,1793,signify,signifying,V;V.PTCP;PRS,+ing,Regular
1804,1804,swoon,swooning,V;V.PTCP;PRS,+ing,Regular
1805,1805,windsurf,windsurfing,V;V.PTCP;PRS,+ing,Regular
1810,1810,reilluminate,reilluminating,V;V.PTCP;PRS,-e+ing,Irregular
1813,1813,stravaige,stravaiging,V;V.PTCP;PRS,-e+ing,Irregular
1814,1814,rerail,rerailing,V;V.PTCP;PRS,+ing,Regular
1815,1815,discounsel,discounselling,V;V.PTCP;PRS,double spell,Irregular
1821,1821,unseal,unsealing,V;V.PTCP;PRS,+ing,Regular
1828,1828,outken,outkenning,V;V.PTCP;PRS,double spell,Irregular
1833,1833,debouche,debouching,V;V.PTCP;PRS,-e+ing,Irregular
1837,1837,genocide,genociding,V;V.PTCP;PRS,-e+ing,Irregular
1838,1838,nitrosate,nitrosating,V;V.PTCP;PRS,-e+ing,Irregular
1839,1839,superhumanize,superhumanizing,V;V.PTCP;PRS,-e+ing,Irregular
1846,1846,coiffure,coiffuring,V;V.PTCP;PRS,-e+ing,Irregular
1849,1849,lap,lapping,V;V.PTCP;PRS,double spell,Irregular
1855,1855,disposition,dispositioning,V;V.PTCP;PRS,+ing,Regular
1857,1857,renucleate,renucleating,V;V.PTCP;PRS,-e+ing,Irregular
1877,1877,crunch,crunching,V;V.PTCP;PRS,+ing,Regular
1880,1880,freak,freaking,V;V.PTCP;PRS,+ing,Regular
1884,1884,exemplify,exemplifying,V;V.PTCP;PRS,+ing,Regular
1885,1885,bread,breading,V;V.PTCP;PRS,+ing,Regular
1886,1886,swirl,swirling,V;V.PTCP;PRS,+ing,Regular
1890,1890,bate,bating,V;V.PTCP;PRS,-e+ing,Irregular
1898,1898,accord,according,V;V.PTCP;PRS,+ing,Regular
1905,1905,kibble,kibbling,V;V.PTCP;PRS,-e+ing,Irregular
1918,1918,rack,racking,V;V.PTCP;PRS,+ing,Regular
1930,1930,marroon,marrooning,V;V.PTCP;PRS,+ing,Regular
1933,1933,untackle,untackling,V;V.PTCP;PRS,-e+ing,Irregular
1934,1934,backsheesh,backsheeshing,V;V.PTCP;PRS,+ing,Regular
1946,1946,beblubber,beblubbering,V;V.PTCP;PRS,+ing,Regular
1955,1955,tellurize,tellurizing,V;V.PTCP;PRS,-e+ing,Irregular
1968,1968,rufie,rufiing,V;V.PTCP;PRS,-e+ing,Irregular
1969,1969,repunctuate,repunctuating,V;V.PTCP;PRS,-e+ing,Irregular
