	Index	root	inflection	tag	rule	reg	diff	count	each count
75	75	forlat	forlats	V;3;SG;PRS	+s	Regular	-s	1842	1842
76	76	backdrop	backdropping	V;V.PTCP;PRS	double spell	Irregular	-ping	30	30
77	77	ravage	ravage	V;NFIN	no change	Regular	-	2035	2008
78	78	outbrazen	outbrazening	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
79	79	embrown	embrowns	V;3;SG;PRS	+s	Regular	-s	1842	1842
80	80	resheath	resheathed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
81	81	export	export	V;NFIN	no change	Regular	-	2035	2008
82	82	thresh	threshing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
83	83	crump	crumped	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
84	84	remagnetize	remagnetized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
85	85	instrengthen	instrengthened	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
86	86	bouge	bouge	V;NFIN	no change	Regular	-	2035	2008
87	87	unlace	unlacing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
88	88	unbrutalize	unbrutalized	V;PST	+d	Irregular	-d	1718	856
89	89	honeyfugle	honeyfugled	V;PST	+d	Irregular	-d	1718	856
90	90	de-muslimize	de-muslimizing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
91	91	ammoniate	ammoniated	V;PST	+d	Irregular	-d	1718	856
92	92	gar	gar	V;NFIN	no change	Regular	-	2035	2008
93	93	propitiate	propitiating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
94	94	murk	murked	V;PST	+ed	Regular	-ed	1605	817
95	95	coapply	coapply	V;NFIN	no change	Regular	-	2035	2008
96	96	drivel	drivel	V;NFIN	no change	Regular	-	2035	2008
97	97	photograph	photograph	V;NFIN	no change	Regular	-	2035	2008
98	98	devolve	devolved	V;PST	+d	Irregular	-d	1718	856
99	99	furnish	furnishing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
100	100	revendicate	revendicated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
101	101	arread	arread	V;NFIN	no change	Regular	-	2035	2008
102	102	moroccanise	moroccanised	V;V.PTCP;PST	+d	Irregular	-d	1718	862
103	103	recommit	recommitting	V;V.PTCP;PRS	double spell	Irregular	-ting	38	38
104	104	reinfund	reinfunding	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
105	105	cream	cream	V;NFIN	no change	Regular	-	2035	2008
106	106	dragnet	dragnetting	V;V.PTCP;PRS	double spell	Irregular	-ting	38	38
107	107	thermoform	thermoforming	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
108	108	coordinate	coordinated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
109	109	tic	tic	V;NFIN	no change	Regular	-	2035	2008
110	110	overlay	overlays	V;3;SG;PRS	+s	Regular	-s	1842	1842
111	111	misvote	misvotes	V;3;SG;PRS	+s	Regular	-s	1842	1842
112	112	passivise	passivised	V;PST	+d	Irregular	-d	1718	856
113	113	acquaint	acquaints	V;3;SG;PRS	+s	Regular	-s	1842	1842
114	114	presspack	presspacking	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
115	115	unemploy	unemploy	V;NFIN	no change	Regular	-	2035	2008
116	116	ozonate	ozonated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
117	117	scow	scowed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
118	118	interpret	interprets	V;3;SG;PRS	+s	Regular	-s	1842	1842
119	119	catalyze	catalyze	V;NFIN	no change	Regular	-	2035	2008
120	120	ice-skate	ice-skate	V;NFIN	no change	Regular	-	2035	2008
121	121	repro	repro	V;NFIN	no change	Regular	-	2035	2008
122	122	tamp	tamping	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
123	123	stomack	stomacked	V;PST	+ed	Regular	-ed	1605	817
124	124	redraught	redraughted	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
125	125	eulogize	eulogizes	V;3;SG;PRS	+s	Regular	-s	1842	1842
126	126	iranianize	iranianize	V;NFIN	no change	Regular	-	2035	2008
127	127	exist	existing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
128	128	noodge	noodging	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
129	129	vada	vadaed	V;PST	+ed	Regular	-ed	1605	817
130	130	dee	dee	V;NFIN	no change	Regular	-	2035	2008
131	131	harden	hardened	V;PST	+ed	Regular	-ed	1605	817
132	132	intercorrelate	intercorrelating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
133	133	halfcock	halfcocked	V;PST	+ed	Regular	-ed	1605	817
134	134	resee	resee	V;NFIN	no change	Regular	-	2035	2008
135	135	tone	tones	V;3;SG;PRS	+s	Regular	-s	1842	1842
136	136	oh	ohed	V;PST	+ed	Regular	-ed	1605	817
137	137	hug	hugged	V;PST	double spell	Irregular	-ged	40	18
138	138	wibble	wibbling	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
139	139	bergh	berghing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
140	140	forthcome	forthcame	V;PST	special	Irregular	o-a	2	1
141	141	hyperactivate	hyperactivated	V;PST	+d	Irregular	-d	1718	856
142	142	noint	nointed	V;PST	+ed	Regular	-ed	1605	817
143	143	undertip	undertip	V;NFIN	no change	Regular	-	2035	2008
144	144	heatsink	heatsink	V;NFIN	no change	Regular	-	2035	2008
145	145	microregulate	microregulated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
146	146	miskick	miskicking	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
147	147	begowk	begowked	V;PST	+ed	Regular	-ed	1605	817
148	148	autotune	autotuning	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
149	149	sot	sotted	V;PST	double spell	Irregular	-ted	43	23
150	150	soberize	soberize	V;NFIN	no change	Regular	-	2035	2008
151	151	decontrol	decontrolled	V;PST	double spell	Irregular	-led	47	20
152	152	marinate	marinate	V;NFIN	no change	Regular	-	2035	2008
153	153	imposthume	imposthumes	V;3;SG;PRS	+s	Regular	-s	1842	1842
154	154	begive	begiven	V;V.PTCP;PST	special	Irregular	-n	19	19
155	155	emolliate	emolliated	V;PST	+d	Irregular	-d	1718	856
156	156	layer	layer	V;NFIN	no change	Regular	-	2035	2008
157	157	spruce	spruced	V;PST	+d	Irregular	-d	1718	856
158	158	agrace	agrace	V;NFIN	no change	Regular	-	2035	2008
159	159	twire	twire	V;NFIN	no change	Regular	-	2035	2008
160	160	play	play	V;NFIN	no change	Regular	-	2035	2008
161	161	cryopreserve	cryopreserved	V;V.PTCP;PST	+d	Irregular	-d	1718	862
162	162	secretary	secretarying	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
163	163	sycophantize	sycophantize	V;NFIN	no change	Regular	-	2035	2008
164	164	autoreact	autoreact	V;NFIN	no change	Regular	-	2035	2008
165	165	revalidate	revalidating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
166	166	westernize	westernized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
167	167	hard-wire	hard-wired	V;V.PTCP;PST	+d	Irregular	-d	1718	862
168	168	rechristen	rechristen	V;NFIN	no change	Regular	-	2035	2008
169	169	forclem	forclempt	V;PST	special	Irregular	-pt	1	1
170	170	youthen	youthened	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
171	171	vide	vide	V;NFIN	no change	Regular	-	2035	2008
172	172	romanticise	romanticised	V;PST	+d	Irregular	-d	1718	856
173	173	avoid	avoided	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
174	174	multimerize	multimerize	V;NFIN	no change	Regular	-	2035	2008
175	175	reproof	reproofing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
176	176	gluttonise	gluttonise	V;NFIN	no change	Regular	-	2035	2008
177	177	misdeem	misdeems	V;3;SG;PRS	+s	Regular	-s	1842	1842
178	178	mispunctuate	mispunctuating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
179	179	belibel	belibelled	V;V.PTCP;PST	double spell	Irregular	-led	47	27
180	180	succede	succeding	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
181	181	remast	remasts	V;3;SG;PRS	+s	Regular	-s	1842	1842
182	182	ninja	ninjaed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
183	183	reduplicate	reduplicated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
184	184	mass-produce	mass-producing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
185	185	homœopathize	homœopathizing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
186	186	wedding	weddinged	V;PST	+ed	Regular	-ed	1605	817
187	187	preapologize	preapologizing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
188	188	cadge	cadge	V;NFIN	no change	Regular	-	2035	2008
189	189	paternalize	paternalizes	V;3;SG;PRS	+s	Regular	-s	1842	1842
190	190	essoign	essoigning	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
191	191	shuggle	shuggling	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
192	192	fortoggle	fortoggled	V;V.PTCP;PST	+d	Irregular	-d	1718	862
193	193	autolyze	autolyzes	V;3;SG;PRS	+s	Regular	-s	1842	1842
194	194	attemper	attempers	V;3;SG;PRS	+s	Regular	-s	1842	1842
195	195	awe	awes	V;3;SG;PRS	+s	Regular	-s	1842	1842
196	196	book	booked	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
197	197	inforce	inforces	V;3;SG;PRS	+s	Regular	-s	1842	1842
198	198	belam	belammed	V;PST	double spell	Irregular	-med	23	11
199	199	inventory	inventorying	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
200	200	unballast	unballasted	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
201	201	spot	spotting	V;V.PTCP;PRS	double spell	Irregular	-ting	38	38
202	202	muslimise	muslimising	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
203	203	dry-clean	dry-cleaning	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
204	204	bedeck	bedecking	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
205	205	rust	rust	V;NFIN	no change	Regular	-	2035	2008
206	206	consent	consented	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
207	207	empress	empressed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
208	208	duodecimate	duodecimated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
209	209	atwind	atwound	V;V.PTCP;PST	special	Irregular	ind-ound	4	2
210	210	inborrow	inborrowed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
211	211	tool	tooled	V;PST	+ed	Regular	-ed	1605	817
212	212	misselect	misselecting	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
213	213	overbrim	overbrimmed	V;PST	double spell	Irregular	-med	23	11
214	214	embox	emboxes	V;3;SG;PRS	+es	Irregular	-es	103	103
215	215	dogleg	doglegged	V;PST	double spell	Irregular	-ged	40	18
216	216	misderive	misderives	V;3;SG;PRS	+s	Regular	-s	1842	1842
217	217	butter	butters	V;3;SG;PRS	+s	Regular	-s	1842	1842
218	218	over-clock	over-clocked	V;PST	+ed	Regular	-ed	1605	817
219	219	hanafize	hanafized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
220	220	recapture	recaptured	V;PST	+d	Irregular	-d	1718	856
221	221	overidealize	overidealizes	V;3;SG;PRS	+s	Regular	-s	1842	1842
222	222	tine	tined	V;PST	+d	Irregular	-d	1718	856
223	223	frolic	frolicked	V;V.PTCP;PST	special	Irregular	-ked	9	5
224	224	characterise	characterising	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
225	225	parallelize	parallelizes	V;3;SG;PRS	+s	Regular	-s	1842	1842
226	226	alphabetize	alphabetizes	V;3;SG;PRS	+s	Regular	-s	1842	1842
227	227	handbrake	handbraked	V;V.PTCP;PST	+d	Irregular	-d	1718	862
228	228	uprush	uprushing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
229	229	monomerize	monomerized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
230	230	shoot	shoot	V;NFIN	no change	Regular	-	2035	2008
231	231	blotch	blotched	V;PST	+ed	Regular	-ed	1605	817
232	232	dwindle	dwindled	V;PST	+d	Irregular	-d	1718	856
233	233	rebulb	rebulb	V;NFIN	no change	Regular	-	2035	2008
234	234	basset	basseting	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
235	235	exuscitate	exuscitating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
236	236	subspecialize	subspecialized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
237	237	gust	gusted	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
238	238	posturize	posturized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
239	239	upleap	uplopen	V;V.PTCP;PST	special	Irregular	eap-open	1	1
240	240	hebraicize	hebraicized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
241	241	siss	sissed	V;PST	+ed	Regular	-ed	1605	817
242	242	defund	defunds	V;3;SG;PRS	+s	Regular	-s	1842	1842
243	243	TRUE	TRUE	V;NFIN	no change	Regular	-	2035	2008
244	244	derp	derps	V;3;SG;PRS	+s	Regular	-s	1842	1842
245	245	scavage	scavages	V;3;SG;PRS	+s	Regular	-s	1842	1842
246	246	unsanctify	unsanctified	V;V.PTCP;PST	y-ied	Irregular	y-ied	145	66
247	247	repullulate	repullulated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
248	248	outprice	outpriced	V;PST	+d	Irregular	-d	1718	856
249	249	salaam	salaaming	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
250	250	inamor	inamored	V;PST	+ed	Regular	-ed	1605	817
251	251	stray	stray	V;NFIN	no change	Regular	-	2035	2008
252	252	disentrail	disentrailed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
253	253	pierce	pierced	V;V.PTCP;PST	+d	Irregular	-d	1718	862
254	254	counterpropagandize	counterpropagandize	V;NFIN	no change	Regular	-	2035	2008
255	255	haft	haft	V;NFIN	no change	Regular	-	2035	2008
256	256	upwaft	upwafting	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
257	257	snotter	snottered	V;PST	+ed	Regular	-ed	1605	817
258	258	shamble	shambled	V;V.PTCP;PST	+d	Irregular	-d	1718	862
259	259	sublet	sublet	V;PST	d-t	Irregular	-	2035	14
260	260	glutch	glutching	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
261	261	garter	gartering	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
262	262	spute	sputed	V;PST	+d	Irregular	-d	1718	856
263	263	blaspheme	blasphemed	V;PST	+d	Irregular	-d	1718	856
264	264	wheeze	wheezed	V;V.PTCP;PST	+d	Irregular	-d	1718	862
265	265	natter	nattered	V;PST	+ed	Regular	-ed	1605	817
266	266	oversupply	oversupplied	V;V.PTCP;PST	y-ied	Irregular	y-ied	145	66
267	267	nicker	nickers	V;3;SG;PRS	+s	Regular	-s	1842	1842
268	268	sjamboke	sjamboking	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
269	269	oompah	oompahs	V;3;SG;PRS	+s	Regular	-s	1842	1842
270	270	villainize	villainizes	V;3;SG;PRS	+s	Regular	-s	1842	1842
271	271	newform	newformed	V;PST	+ed	Regular	-ed	1605	817
272	272	overcall	overcalls	V;3;SG;PRS	+s	Regular	-s	1842	1842
273	273	outleap	outleaping	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
274	274	caseharden	casehardening	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
275	275	rethank	rethanking	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
276	276	ahoy	ahoys	V;3;SG;PRS	+s	Regular	-s	1842	1842
277	277	enthronize	enthronize	V;NFIN	no change	Regular	-	2035	2008
278	278	teletransmit	teletransmit	V;NFIN	no change	Regular	-	2035	2008
279	279	troak	troaking	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
280	280	tarry	tarrying	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
281	281	morcellate	morcellate	V;NFIN	no change	Regular	-	2035	2008
282	282	begloom	beglooming	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
283	283	blink	blink	V;NFIN	no change	Regular	-	2035	2008
284	284	inexist	inexist	V;NFIN	no change	Regular	-	2035	2008
285	285	shrink	shrunk	V;V.PTCP;PST	special	Irregular	i-u	17	11
286	286	toshiver	toshivered	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
287	287	pooh	poohing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
288	288	fiddlefart	fiddlefart	V;NFIN	no change	Regular	-	2035	2008
289	289	chitter	chittering	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
290	290	delint	delint	V;NFIN	no change	Regular	-	2035	2008
291	291	recertify	recertifies	V;3;SG;PRS	y-ies	Irregular	y-ies	74	74
292	292	savor	savors	V;3;SG;PRS	+s	Regular	-s	1842	1842
293	293	machicolate	machicolated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
294	294	revalue	revalue	V;NFIN	no change	Regular	-	2035	2008
295	295	sile	siled	V;V.PTCP;PST	+d	Irregular	-d	1718	862
296	296	fordrive	fordrive	V;NFIN	no change	Regular	-	2035	2008
297	297	dunk	dunked	V;PST	+ed	Regular	-ed	1605	817
298	298	undight	undights	V;3;SG;PRS	+s	Regular	-s	1842	1842
299	299	revalorize	revalorizing	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
300	300	ghast	ghast	V;NFIN	no change	Regular	-	2035	2008
301	301	fugle	fugled	V;V.PTCP;PST	+d	Irregular	-d	1718	862
302	302	basify	basifying	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
303	303	sclerose	sclerosed	V;PST	+d	Irregular	-d	1718	856
304	304	barnacle	barnacling	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
305	305	disarticulate	disarticulating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
306	306	virialize	virialized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
307	307	dout	dout	V;NFIN	no change	Regular	-	2035	2008
308	308	rebleed	rebleed	V;NFIN	no change	Regular	-	2035	2008
309	309	preface	prefaced	V;PST	+d	Irregular	-d	1718	856
310	310	geneticize	geneticized	V;V.PTCP;PST	+d	Irregular	-d	1718	862
311	311	uncredit	uncredits	V;3;SG;PRS	+s	Regular	-s	1842	1842
312	312	redistill	redistilled	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
313	313	lipread	lipreads	V;3;SG;PRS	+s	Regular	-s	1842	1842
314	314	clot	clotted	V;PST	double spell	Irregular	-ted	43	23
315	315	umble	umbling	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
316	316	cheek	cheeked	V;PST	+ed	Regular	-ed	1605	817
317	317	skydive	skydive	V;NFIN	no change	Regular	-	2035	2008
318	318	adjudicate	adjudicating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
319	319	spazz	spazzed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
320	320	disglorify	disglorified	V;V.PTCP;PST	y-ied	Irregular	y-ied	145	66
321	321	bludge	bludged	V;V.PTCP;PST	+d	Irregular	-d	1718	862
322	322	beef	beef	V;NFIN	no change	Regular	-	2035	2008
323	323	unconfuse	unconfuse	V;NFIN	no change	Regular	-	2035	2008
324	324	commoditize	commoditizes	V;3;SG;PRS	+s	Regular	-s	1842	1842
325	325	monotone	monotones	V;3;SG;PRS	+s	Regular	-s	1842	1842
326	326	invigorate	invigorating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
327	327	complete	completes	V;3;SG;PRS	+s	Regular	-s	1842	1842
328	328	actualize	actualize	V;NFIN	no change	Regular	-	2035	2008
329	329	pejorate	pejorated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
330	330	interflow	interflow	V;NFIN	no change	Regular	-	2035	2008
331	331	hereticate	hereticate	V;NFIN	no change	Regular	-	2035	2008
332	332	crimp	crimps	V;3;SG;PRS	+s	Regular	-s	1842	1842
333	333	perjure	perjured	V;V.PTCP;PST	+d	Irregular	-d	1718	862
334	334	reassault	reassaulted	V;PST	+ed	Regular	-ed	1605	817
335	335	indulgiate	indulgiating	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
336	336	calumnate	calumnated	V;V.PTCP;PST	+d	Irregular	-d	1718	862
337	337	xylograph	xylographing	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
338	338	retribute	retribute	V;NFIN	no change	Regular	-	2035	2008
339	339	intervene	intervening	V;V.PTCP;PRS	-e+ing	Irregular	e-ing	832	831
340	340	hand-hold	hand-hold	V;NFIN	no change	Regular	-	2035	2008
341	341	overperform	overperformed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
342	342	overmilitarize	overmilitarize	V;NFIN	no change	Regular	-	2035	2008
343	343	jump	jumping	V;V.PTCP;PRS	+ing	Regular	-ing	949	949
344	344	dryclean	drycleaned	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
345	345	inthronize	inthronizes	V;3;SG;PRS	+s	Regular	-s	1842	1842
346	346	overdreep	overdreep	V;NFIN	no change	Regular	-	2035	2008
347	347	unrack	unracked	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
348	348	inhere	inhered	V;V.PTCP;PST	+d	Irregular	-d	1718	862
349	349	againsay	againsaid	V;V.PTCP;PST	special	Irregular	y-id	10	4
350	350	atspring	atsprang	V;PST	special	Irregular	i-a	10	9
351	351	fineer	fineered	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
352	352	connex	connexed	V;V.PTCP;PST	+ed	Regular	-ed	1605	788
353	353	skywatch	skywatches	V;3;SG;PRS	+es	Irregular	-es	103	103
354	354	biographise	biographise	V;NFIN	no change	Regular	-	2035	2008
355	355	min	minned	V;PST	double spell	Irregular	-ned	20	12
